row_type,date,cbsa_code,bls_series_id,employment_thousands_sa,preliminary_count,latest_fully_final_month
observation,2026-06-01,36220,SMS48362200000000001,84.0,,2026-05-01
observation,2026-06-01,36260,SMS49362600000000001,269.7,,2026-05-01
observation,2026-06-01,36420,SMS40364200000000001,711.4,,2026-05-01
observation,2026-06-01,36980,SMS21369800000000001,50.7,,2026-05-01
observation,2026-06-01,37900,SMS17379000000000001,171.3,,2026-05-01
observation,2026-06-01,38300,SMS42383000000000001,1202.0,,2026-05-01
observation,2026-06-01,38340,SMS25383400000000001,58.1,,2026-05-01
observation,2026-06-01,38540,SMS16385400000000001,39.8,,2026-05-01
observation,2026-06-01,38940,SMS12389400000000001,178.3,,2026-05-01
observation,2026-06-01,39380,SMS08393800000000001,62.8,,2026-05-01
observation,2026-06-01,39460,SMS12394600000000001,59.2,,2026-05-01
observation,2026-06-01,39660,SMS46396600000000001,77.0,,2026-05-01
observation,2026-06-01,39740,SMS42397400000000001,185.3,,2026-05-01
observation,2026-06-01,39820,SMS06398200000000001,73.9,,2026-05-01
observation,2026-06-01,39900,SMS32399000000000001,285.6,,2026-05-01
observation,2026-06-01,40060,SMS51400600000000001,728.8,,2026-05-01
observation,2026-06-01,40220,SMS51402200000000001,169.2,,2026-05-01
observation,2026-06-01,40340,SMS27403400000000001,128.6,,2026-05-01
observation,2026-06-01,40380,SMS36403800000000001,521.3,,2026-05-01
observation,2026-06-01,40420,SMS17404200000000001,142.5,,2026-05-01
observation,2026-06-01,40580,SMS37405800000000001,55.3,,2026-05-01
observation,2026-06-01,40660,SMS13406600000000001,46.9,,2026-05-01
observation,2026-06-01,40980,SMS26409800000000001,85.2,,2026-05-01
observation,2026-06-01,41060,SMS27410600000000001,108.8,,2026-05-01
observation,2026-06-01,41100,SMS49411000000000001,92.2,,2026-05-01
observation,2026-06-01,41420,SMS41414200000000001,189.9,,2026-05-01
observation,2026-06-01,41500,SMS06415000000000001,150.3,,2026-05-01
observation,2026-06-01,41540,SMS24415400000000001,57.6,,2026-05-01
observation,2026-06-01,41660,SMS48416600000000001,54.1,,2026-05-01
observation,2026-06-01,41780,SMS39417800000000001,54.4,,2026-05-01
observation,2026-06-01,42140,SMS35421400000000001,63.5,,2026-05-01
observation,2026-06-01,42340,SMS13423400000000001,216.1,,2026-05-01
observation,2026-06-01,43100,SMS55431000000000001,63.1,,2026-05-01
observation,2026-06-01,43900,SMS45439000000000001,179.9,,2026-05-01
observation,2026-06-01,44100,SMS17441000000000001,106.0,,2026-05-01
observation,2026-06-01,44140,SMS25441400000000001,208.9,,2026-05-01
observation,2026-06-01,44180,SMS29441800000000001,237.4,,2026-05-01
observation,2026-06-01,44220,SMS39442200000000001,46.9,,2026-05-01
observation,2026-06-01,44300,SMS42443000000000001,81.7,,2026-05-01
observation,2026-06-01,44940,SMS45449400000000001,37.4,,2026-05-01
observation,2026-06-01,45060,SMS36450600000000001,322.2,,2026-05-01
observation,2026-06-01,45220,SMS12452200000000001,202.1,,2026-05-01
observation,2026-06-01,45460,SMS18454600000000001,68.2,,2026-05-01
observation,2026-06-01,45780,SMS39457800000000001,299.9,,2026-05-01
observation,2026-06-01,45820,SMS20458200000000001,118.5,,2026-05-01
observation,2026-06-01,46060,SMS04460600000000001,406.1,,2026-05-01
observation,2026-06-01,46140,SMS40461400000000001,483.0,,2026-05-01
observation,2026-06-01,46220,SMS01462200000000001,117.9,,2026-05-01
observation,2026-06-01,46300,SMS16463000000000001,51.7,,2026-05-01
observation,2026-06-01,46340,SMS48463400000000001,122.1,,2026-05-01
observation,2026-06-01,46520,SMS15465200000000001,462.2,,2026-05-01
observation,2026-06-01,46660,SMS13466600000000001,56.8,,2026-05-01
observation,2026-06-01,46700,SMS06467000000000001,146.4,,2026-05-01
observation,2026-06-01,47220,SMS34472200000000001,60.0,,2026-05-01
observation,2026-06-01,47300,SMS06473000000000001,145.3,,2026-05-01
observation,2026-06-01,47380,SMS48473800000000001,143.3,,2026-05-01
observation,2026-06-01,47460,SMS53474600000000001,27.7,,2026-05-01
observation,2026-06-01,47580,SMS13475800000000001,77.7,,2026-05-01
observation,2026-06-01,48140,SMS55481400000000001,70.8,,2026-05-01
observation,2026-06-01,48620,SMS20486200000000001,315.8,,2026-05-01
observation,2026-06-01,48660,SMS48486600000000001,58.7,,2026-05-01
observation,2026-06-01,48700,SMS42487000000000001,53.0,,2026-05-01
observation,2026-06-01,48900,SMS37489000000000001,200.6,,2026-05-01
observation,2026-06-01,49340,SMS25493400000000001,368.1,,2026-05-01
observation,2026-06-01,49420,SMS53494200000000001,89.6,,2026-05-01
observation,2026-06-01,49700,SMS06497000000000001,52.8,,2026-05-01
observation,2026-06-01,49740,SMS04497400000000001,60.5,,2026-05-01
month_summary,2026-06-01,,,,206,2026-05-01
