year,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
2011,ZHVI all-homes SA,2264,189,12,149319.8436390649,50130.85455316291,49451.11095401488,74885.60092321993,84476.92272329728,98555.60747912253,119120.99055105523,139247.33057240222,171790.3728534048,206982.7331229747,238764.92563269183,356205.3271124719,414173.5381506867,0,0
2011,permits units SA,2264,189,12,100960.02955591689,100889.13160588908,-7.81508962053549,-0.046752856120990324,2.0822151664058643,7.644268481644978,37.303649457488504,101749.20738299443,201812.0,201902.0,201903.0,201903.0,201903.0,0,0
2011,employment thousands SA,2264,189,12,131.42429328621907,146.00629452086113,20.1,28.726000000000003,37.615,42.3,54.7,75.15,150.7,286.04,372.465,928.4839999999996,1183.1,0,0
2012,ZHVI all-homes SA,2275,190,12,148333.33595515543,48742.88538074146,49348.99715611694,71990.85452519369,86902.14798519849,98930.48362519746,118845.0274866827,137940.360811581,170813.40423681514,202785.9980266951,232007.56145003863,347172.77501388325,405348.04390228074,0,0
2012,permits units SA,2275,190,12,100941.7854475824,100911.11737586025,-5.25717835033095,-0.7143142866422076,1.3681008287288197,6.829978016363861,39.031649773855705,1628.19359939405,201906.0,201908.0,201909.0,201909.0,201909.0,0,0
2012,employment thousands SA,2275,190,12,132.90773626373624,148.15138422912872,19.8,28.048000000000002,38.37,42.9,55.3,75.9,152.2,291.58000000000004,370.1,957.443999999999,1194.1,0,0
2013,ZHVI all-homes SA,2280,190,12,155297.17589209176,54538.195494953914,58402.597759353666,73564.88345060362,89739.51665923743,101348.95272344656,121808.390117236,143464.37291194047,178316.4207776616,215541.02205077902,255932.23811547217,363352.19493759854,491458.3593736131,0,0
2013,permits units SA,2280,190,12,101012.8254186883,100936.31961473504,-15.9873268100693,-0.6303394680981806,1.866866156137708,7.417404350465603,37.74520807187908,101366.62047112288,201912.0,202002.0,202003.0,202003.0,202003.0,0,0
2013,employment thousands SA,2280,190,12,134.44934210526316,149.99119523524385,19.2,27.779000000000003,38.595,43.7,55.5,77.0,155.97500000000002,294.31,375.2,981.842,1190.8,0,0
2014,ZHVI all-homes SA,2403,201,12,164481.00587741195,65740.80068448614,67804.82631024103,75617.414205729,91226.3510166497,103194.00034577695,125796.53903720202,150937.43284396615,191222.16058470664,230682.09896505132,275939.760620942,435654.75062041444,547683.2122888936,0,0
2014,permits units SA,2403,201,12,100998.16994246545,100960.59477534721,-90.125404575521,-1.2469395673549895,1.4788478449741613,6.264543217832854,38.942075355936254,1424.65735763172,202006.0,202008.0,202009.0,202009.0,202009.0,0,0
2014,employment thousands SA,2403,201,12,133.90208073241783,151.30521888866232,19.4,27.5,37.8,42.0,54.6,76.5,151.0,298.4,386.7700000000001,634.856,1193.3,0,0
2015,ZHVI all-homes SA,2304,192,12,171248.72180939483,66762.80668722298,75766.12055077426,79190.78579062839,93568.21471975306,107692.21339544191,130090.6710947766,157218.867177825,200599.23988296537,246383.1569430231,290227.9401467247,441184.1395780924,576614.2951426638,0,0
2015,permits units SA,2304,192,12,101092.29932687436,100986.24360610882,-7.51334624594878,-0.17494207160951064,2.889297896991778,10.045389293198049,50.274320241302476,102123.06614790764,202034.25,202102.0,202103.0,202103.0,202103.0,0,0
2015,employment thousands SA,2304,192,12,138.83910590277776,156.24353223825509,19.5,26.157000000000004,37.6,42.9,55.9,79.69999999999999,159.875,307.4,407.73499999999984,1019.5739999999251,1194.5,0,0
2016,ZHVI all-homes SA,2338,195,12,179419.61723736842,72812.4010034075,76816.6438767935,82365.29477229738,97155.57031967785,107700.39266400888,134777.27986420007,164127.16455831443,209093.97047721897,260824.29896086344,305913.72708840657,490650.5189323162,614554.3047748874,0,0
2016,permits units SA,2338,195,12,101029.72219085456,101012.07911304187,-18.0381859541144,-1.8143838324204902,0.9566615906720148,7.39151071430504,50.4221260558171,2576.062402974225,202106.75,202108.0,202109.0,202109.0,202109.0,0,0
2016,employment thousands SA,2338,195,12,139.51903336184773,157.51236260820363,19.3,26.637,37.2,42.47,56.0,80.05,161.35,311.9100000000001,406.6600000000001,914.8580000000412,1192.5,0,0
2017,ZHVI all-homes SA,2340,195,12,188241.75039781662,79491.05100499773,79912.94412916468,85602.41479013703,100884.97802747363,110031.3604830687,138521.49192048423,169913.98158295307,216638.70262488443,281724.2804226155,333776.3911513236,525648.9148734007,649425.5015115753,0,0
2017,permits units SA,2340,195,12,101150.80314950166,101027.44151286838,-3.14603522663561,1.182062187428678,6.649429706271927,14.994709072511212,58.323050002172124,102703.47608268443,202134.25,202202.0,202203.0,202203.0,202203.0,0,0
2017,employment thousands SA,2340,195,12,141.10572649572651,159.51997667980385,19.9,26.3,36.8,43.49,55.9,81.4,165.425,316.5,409.60499999999996,929.3170000000484,1207.4,0,0
2018,ZHVI all-homes SA,2352,196,12,198846.47738762992,85510.09165022307,79317.3508097806,91304.77604789447,105259.69816007024,115093.36111505055,144678.40802877644,177161.13605835158,227634.4150980712,305393.36340871576,358808.3357155198,551665.5213033091,671109.2208143111,0,0
2018,permits units SA,2352,196,12,101174.13118409827,101053.97752139973,-20.0071725289796,3.3074704671809974,10.84578895738698,17.99041946355325,61.826591249513974,102368.24465579538,202206.25,202208.0,202209.0,202209.0,202209.0,0,0
2018,employment thousands SA,2352,196,12,142.6357568027211,161.64217978144563,20.4,25.953000000000003,36.955,43.9,56.2,82.25,164.54999999999998,320.88,412.3649999999993,900.4339999999178,1216.5,0,0
2019,ZHVI all-homes SA,2350,196,12,209398.4251487686,89363.14115850872,83607.33862885972,96252.23903027517,109460.76162587013,122263.12071798473,152634.74438028835,187130.39972709055,238753.9162017348,325954.6774253267,381244.7353947511,575506.8562977348,671084.2158845725,0,0
2019,permits units SA,2350,196,12,101187.05846104116,101091.09242670561,-15.3462544813181,2.4226385027118944,8.197920787924916,14.366521303748058,50.28103496306597,102172.39157877502,202278.75,202302.0,202303.0,202303.0,202303.0,0,0
2019,employment thousands SA,2350,196,12,144.1842978723404,163.6685164149509,20.9,26.343000000000004,37.1,43.68000000000001,56.324999999999996,81.85,168.02499999999998,327.40999999999997,415.0749999999999,921.8909999999116,1221.9,0,0
2020,ZHVI all-homes SA,2352,196,12,223160.73861333347,94422.65971896231,86557.12311854267,101953.16464137798,117063.6259849511,130806.05640936119,162611.2663890306,198447.9120211272,254928.6091203627,346385.8184082085,406349.42761893966,605174.3663698935,699206.7133237516,0,0
2020,permits units SA,2352,196,12,101217.44354168717,101110.65906634383,-13.9844447006497,2.4629230024674156,9.017593776522926,16.893942816240227,56.6887423520821,102114.88407169525,202306.25,202308.0,202309.0,202309.0,202309.0,0,0
2020,employment thousands SA,2352,196,12,136.26602891156463,154.56722749705082,19.2,25.151000000000003,35.0,40.410000000000004,52.8,78.0,158.5,311.09000000000003,401.145,848.3369999999495,1220.3,0,0
2021,ZHVI all-homes SA,2352,196,12,255807.82389198252,114822.53086963724,92420.21626848118,116561.95256352054,131127.3488235434,149260.3900187154,181799.3789260117,221393.5349388665,295754.80159887084,405690.0813675118,491716.2890719691,695705.4997996262,796315.1476248255,0,0
2021,permits units SA,2352,196,12,101242.08369451565,101136.01578143342,-30.241009474117,3.124675846427165,9.926242960050953,16.00583991020628,55.6578398599111,101973.56206147403,202334.25,202402.0,202403.0,202403.0,202403.0,0,0
2021,employment thousands SA,2352,196,12,140.11960034013606,158.7593271811238,21.1,25.518000000000004,35.9,41.309999999999995,54.0,80.05,166.125,319.66,408.5349999999996,917.3819999999275,1160.5,0,0
2022,ZHVI all-homes SA,2352,196,12,289529.1468797179,133140.61709310306,98831.34912815159,127712.11419226824,143862.73432505023,163624.0215929513,202910.0949142783,251919.18012238722,341141.84687251854,458606.0374057701,563119.6259560175,801959.0470955598,893691.3277472038,0,0
2022,permits units SA,2352,196,12,101265.01782871081,101163.08141082307,-78.5609617717921,1.6308025187005257,9.446638693675844,16.631767242254853,59.473042714946374,102179.24824325753,202406.25,202408.0,202409.0,202409.0,202409.0,0,0
2022,employment thousands SA,2352,196,12,145.01483843537417,164.36661610059934,21.2,26.018000000000004,36.955,42.8,56.0,82.8,170.55,332.4800000000002,425.9249999999999,951.0339999999244,1179.7,0,0
2023,ZHVI all-homes SA,2352,196,12,296935.5131205186,128748.6556572089,99379.22471913813,132558.9371957269,150045.53383572923,167980.51550405825,210963.94767177716,265159.6148546799,352317.0920724302,448164.280137978,553636.8329564622,782580.8389670949,862639.5445139002,0,0
