scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
all_vintage:pareto_14_200509_250m_120n,ZHVI all-homes SA,30000,120,250,216928.86298831718,112336.74211450428,70773.62398823531,87062.9751407917,105363.86217840681,115453.79368383091,139640.80691282914,185573.69498681772,257606.8626044944,363768.81760230474,438824.03218107746,628274.5907118587,870668.4947126737,0,0
all_vintage:pareto_14_200509_250m_120n,permits units SA,30000,120,250,101116.96877987834,100971.45991529472,-90.125404575521,-0.13419139380701608,5.275421679189738,14.191890975288612,68.00750049024275,102449.47608268443,202104.0,202405.1,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_14_200509_250m_120n,employment thousands SA,30000,120,250,175.99061666666665,183.0009556530932,27.3,33.8,41.0,50.9,62.4,111.6,202.9,375.5100000000002,517.5049999999999,1121.3059999999991,1221.9,0,0
all_vintage:pareto_15_200510_249m_121n,ZHVI all-homes SA,30129,121,249,216563.6873551076,112121.98908836555,70773.62398823531,87158.09063093337,105503.41045607119,115555.59807395792,139451.84148220022,185251.04792900078,256719.2678376556,363117.91986957466,438134.1439045896,627690.0852003918,870668.4947126737,0,0
all_vintage:pareto_15_200510_249m_121n,permits units SA,30129,121,249,100712.89966707872,100973.1003933255,-90.125404575521,-0.1289029060480632,5.291582857636531,14.040582688789621,66.4155924038965,1413.15097631026,202104.0,202406.0,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_15_200510_249m_121n,employment thousands SA,30129,121,249,175.57243519532676,182.35490292084853,27.3,33.8,41.0,51.0,62.5,112.7,202.2,374.7200000000001,515.8599999999998,1119.948000000001,1221.9,0,0
all_vintage:pareto_16_200512_247m_122n,ZHVI all-homes SA,30134,122,247,216458.5926393156,111892.81926419168,70773.62398823531,87301.23657521911,105564.98740783443,115810.70028548731,139905.39278321702,185061.02215852973,255936.85238957245,362735.61457131454,437826.3271826472,627127.7228640099,870668.4947126737,0,0
all_vintage:pareto_16_200512_247m_122n,permits units SA,30134,122,247,100711.18386477596,100975.4683320271,-90.125404575521,-0.15234803882623232,4.923854697823638,13.405531833879639,65.43434579476113,1411.316251956115,202105.0,202406.0,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_16_200512_247m_122n,employment thousands SA,30134,122,247,174.6399913718723,182.0278519991052,27.3,33.9,41.1,51.0,62.1,111.6,201.3,374.1,514.8349999999998,1117.4009999999994,1221.9,0,0
all_vintage:pareto_17_200607_240m_123n,ZHVI all-homes SA,29520,123,240,216705.21645655236,112025.79363414785,70773.62398823531,87590.17595994608,105923.32956623191,116222.13739381831,140016.57876129425,185029.5539125629,256023.57568244252,363493.3904909477,438431.39364447136,626670.8088416797,870668.4947126737,0,0
all_vintage:pareto_17_200607_240m_123n,permits units SA,29520,123,240,101126.2928951,100982.24835325686,-90.125404575521,-0.1290952979136627,5.149997161340649,13.70581165034565,65.5303642019458,102451.97608268443,202106.25,202406.1,202506.05,202604.0,202606.0,0,0
all_vintage:pareto_17_200607_240m_123n,employment thousands SA,29520,123,240,174.32290311653117,181.67477071201367,27.3,33.9,41.1,51.1,62.2,110.8,200.1,373.9,513.9,1116.9720000000016,1221.9,0,0
all_vintage:pareto_18_200608_239m_125n,ZHVI all-homes SA,29875,125,239,215921.2635317143,111560.6430108702,70773.62398823531,87731.11049205225,105424.75126014298,116138.83726781375,139774.19730711333,184163.9356201261,254588.60218076775,361562.9041256652,436841.13498671167,624765.2318540873,870668.4947126737,0,0
