scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
final_only:pareto_06_200411_259m_106n,employment thousands SA,27454,106,259,182.21365192685946,189.41194882747575,27.3,33.153000000000006,40.5,52.10000000000001,63.5,120.6,206.0,383.6700000000001,541.7699999999998,1146.276000000001,1221.9,0,0
final_only:pareto_07_200412_258m_107n,ZHVI all-homes SA,27606,107,258,216352.50344577275,113441.26673042693,70773.62398823531,85664.20168888338,105289.09046501461,115097.483133912,137782.36012461397,184799.11517968454,257030.07083767618,368662.6150482873,438142.1014851857,638124.7086085475,870668.4947126737,0,0
final_only:pareto_07_200412_258m_107n,permits units SA,27606,107,258,101107.06261794912,100964.38054336708,-90.125404575521,-0.11699430156242344,4.476941701878687,13.236920843215302,69.46233702113864,102403.47608268443,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_07_200412_258m_107n,employment thousands SA,27606,107,258,181.0758132290082,188.96268274173778,27.3,33.2,40.7,51.95,62.9,118.1,204.4,381.8,537.875,1145.3850000000002,1221.9,0,0
final_only:pareto_08_200501_257m_108n,ZHVI all-homes SA,27756,108,257,215822.4104043293,113336.82695754225,70773.62398823531,85734.6211410372,104853.5958510878,114538.30121155707,137396.3170020572,184302.12788953737,256127.72267334806,367424.58641486196,437736.2591405344,637985.3677953886,870668.4947126737,0,0
final_only:pareto_08_200501_257m_108n,permits units SA,27756,108,257,101499.52354497473,100963.99614876595,-90.125404575521,-0.10174986865077681,4.685387349461725,13.33742469956035,69.01223848575374,201510.0,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_08_200501_257m_108n,employment thousands SA,27756,108,257,179.825299034443,188.60635386691033,27.3,33.3,40.0,51.0,62.5,116.15,202.8,380.0,536.0,1144.5700000000004,1221.9,0,0
final_only:pareto_09_200502_256m_110n,ZHVI all-homes SA,28160,110,256,216175.65549404468,113992.46880315086,70773.62398823531,86035.56753152392,103962.23526907347,114142.56948006939,137183.1165808839,184582.43534273523,256488.86519828613,369108.05224871106,440364.37933645264,636585.6231848875,870668.4947126737,0,0
final_only:pareto_09_200502_256m_110n,permits units SA,28160,110,256,101107.99408050485,100967.77624446295,-90.125404575521,-0.08264883576865842,4.809555005206549,13.37855027268772,66.9914786920381,102403.97608268443,202102.25,202405.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_09_200502_256m_110n,employment thousands SA,28160,110,256,177.71807173295457,187.5969096637927,27.3,33.4,40.3,51.3,62.1,112.6,200.9,377.6,531.3199999999997,1138.7429999999995,1221.9,0,0
final_only:pareto_10_200505_253m_111n,ZHVI all-homes SA,28083,111,253,216612.4889665819,113850.62967402182,70773.62398823531,86382.46535833103,104310.37491350634,114550.69980379891,137789.75154110655,184986.08901879448,257096.07968292135,369019.4324073751,440383.61355392967,636841.6575966367,870668.4947126737,0,0
final_only:pareto_10_200505_253m_111n,permits units SA,28083,111,253,101509.20413320613,100969.2912980542,-90.125404575521,-0.07118460595449574,4.977082419071963,13.76180423083194,67.2264562755498,201512.0,202103.0,202405.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_10_200505_253m_111n,employment thousands SA,28083,111,253,177.3361784709611,186.9629406142238,27.3,33.4,40.3,51.39999999999999,62.25,114.0,199.5,376.65999999999985,528.5799999999996,1137.536,1221.9,0,0
final_only:pareto_11_200506_252m_113n,ZHVI all-homes SA,28476,113,252,216829.39768183412,113230.69784067913,70773.62398823531,86703.77187876798,104705.53763374143,114953.93611204784,138652.9569960239,185442.52157356963,257359.5327143591,366467.02543501585,438856.1631569702,633945.5829745436,870668.4947126737,0,0
final_only:pareto_11_200506_252m_113n,permits units SA,28476,113,252,101112.89776527668,100971.76623752345,-90.125404575521,-0.16368481541410101,4.82066587552674,13.4724141245152,66.71313919948243,102448.97608268443,202103.25,202405.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_11_200506_252m_113n,employment thousands SA,28476,113,252,178.51149037786206,186.44668054117636,27.3,33.6,40.5,51.6,62.5,114.0,202.1,380.3,526.3249999999999,1136.9,1221.9,0,0
final_only:pareto_12_200507_251m_116n,ZHVI all-homes SA,29116,116,251,216592.23733478208,112387.55279129065,70773.62398823531,86657.38269642847,104833.23414579123,115101.44562214185,138959.8173064715,185655.63326088368,257296.6040625917,363457.2939319883,436429.4846190285,630327.6255768101,870668.4947126737,0,0
final_only:pareto_12_200507_251m_116n,permits units SA,29116,116,251,101515.16372639276,100970.92938529578,-90.125404575521,-0.15951991836248258,4.957439739261033,13.55724803722785,66.41560984561765,201601.0,202104.0,202405.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_12_200507_251m_116n,employment thousands SA,29116,116,251,177.03599738975132,184.7882511378435,27.3,33.7,40.7,51.3,62.4,112.7,202.8,377.5,522.25,1128.8199999999983,1221.9,0,0
final_only:pareto_13_200508_250m_118n,ZHVI all-homes SA,29500,118,250,216410.730844276,111728.10812936169,70773.62398823531,86887.09763371715,105095.35381773676,115454.53887627476,139756.33576717516,185371.4680795526,256897.2654694664,361478.9875897404,435202.59213833144,628511.7704170085,870668.4947126737,0,0
final_only:pareto_13_200508_250m_118n,permits units SA,29500,118,250,101114.42175208716,100974.02804386153,-90.125404575521,-0.14697059941685053,5.066916951909566,13.7621092137259,66.87917773494635,102449.47608268443,202104.0,202405.1,202506.0,202604.0,202606.0,0,0
final_only:pareto_13_200508_250m_118n,employment thousands SA,29500,118,250,175.4345627118644,183.72808386203658,27.3,33.7,40.8,50.7,62.1,111.5,201.025,375.2,519.8,1123.0049999999992,1221.9,0,0
final_only:pareto_14_200509_249m_120n,ZHVI all-homes SA,29880,120,249,216451.37383271757,111985.14292948449,70773.62398823531,87042.92465285867,105322.91439176074,115417.41409784173,139493.7872942797,185234.01926129608,256719.78146782576,362744.9030664803,437742.0226980115,627355.5283643745,870668.4947126737,0,0
final_only:pareto_14_200509_249m_120n,permits units SA,29880,120,249,101522.36270461294,100970.75908645752,-90.125404575521,-0.1410421323767581,5.274451176770142,14.19382279573141,68.46134964894381,201602.0,202104.0,202406.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_14_200509_249m_120n,employment thousands SA,29880,120,249,175.92278781793843,182.92359034509906,27.3,33.8,41.0,50.9,62.4,111.5,202.9,375.4100000000002,517.3099999999998,1120.5889999999993,1221.9,0,0
final_only:pareto_15_200510_248m_121n,ZHVI all-homes SA,30008,121,248,216086.60189517695,111770.6687330592,70773.62398823531,87140.70349874247,105470.7517464053,115511.31748047334,139296.14904614995,184869.00682538986,255805.42919461735,361826.3579253462,436861.9993118142,626445.5224592407,870668.4947126737,0,0
final_only:pareto_15_200510_248m_121n,permits units SA,30008,121,248,101118.30367082596,100974.02751261392,-90.125404575521,-0.1338082003519731,5.2911449013919825,14.049383628563373,66.82669542336933,102449.97608268443,202104.25,202406.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_15_200510_248m_121n,employment thousands SA,30008,121,248,175.5049720074647,182.27763671756747,27.3,33.8,41.0,51.0,62.5,112.7,202.1,374.6,515.7649999999998,1119.1740000000004,1221.9,0,0
final_only:pareto_16_200512_246m_122n,ZHVI all-homes SA,30012,122,246,215980.2922803402,111541.21301826525,70773.62398823531,87282.725719885,105545.28364376012,115765.50690247648,139803.9430934034,184633.09556708572,255243.7500020814,361340.24920935434,436580.14402499853,625294.3120591436,870668.4947126737,0,0
final_only:pareto_16_200512_246m_122n,permits units SA,30012,122,246,101119.88237121985,100976.40738996264,-90.125404575521,-0.15613354842632507,4.916555720408082,13.407958089522099,65.88076323021107,102450.47608268443,202105.0,202406.0,202506.0,202604.0,202606.0,0,0
final_only:pareto_16_200512_246m_122n,employment thousands SA,30012,122,246,174.57283086765293,181.95046077750035,27.3,33.9,41.1,51.0,62.1,111.6,201.2,374.09000000000015,514.8,1117.0679999999993,1221.9,0,0
final_only:pareto_17_200607_239m_123n,ZHVI all-homes SA,29397,123,239,216218.4916586408,111670.7331858195,70773.62398823531,87579.7668818447,105836.73399537773,116176.25101629498,139904.25868686216,184569.44239718546,255312.0060596996,362294.0570233837,436982.78172042227,625121.3407610465,870668.4947126737,0,0
final_only:pareto_17_200607_239m_123n,permits units SA,29397,123,239,101548.70378585177,100981.47286479574,-90.125404575521,-0.13436848408078758,5.147014714432126,13.707459585173002,66.0777739983974,201607.0,202107.0,202407.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_17_200607_239m_123n,employment thousands SA,29397,123,239,174.25534578358338,181.59667244604358,27.3,33.9,41.1,51.1,62.2,110.8,200.0,373.9,513.8199999999997,1116.0480000000011,1221.9,0,0
final_only:pareto_18_200608_238m_125n,ZHVI all-homes SA,29750,125,238,215434.8857801156,111206.38889999472,70773.62398823531,87683.2318989416,105324.46493872038,116074.44837453932,139617.16519736906,183688.02689056582,253750.77008907343,360502.0186244284,435779.48114347376,623970.840766203,870668.4947126737,0,0
final_only:pareto_18_200608_238m_125n,permits units SA,29750,125,238,101127.3942856767,100985.32643666012,-90.125404575521,-0.12187337972572523,5.243299509834607,13.662754631927571,64.02512405906657,102452.47608268443,202107.0,202407.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_18_200608_238m_125n,employment thousands SA,29750,125,238,172.1130386554622,180.99696395181226,18.1,28.4,39.6,50.3,61.5,109.6,197.6,372.2,512.6,1112.0039999999995,1221.9,0,0
final_only:pareto_19_200609_237m_126n,ZHVI all-homes SA,29862,126,237,216429.9254538397,111453.08654541522,70773.62398823531,87740.8975691236,105466.9164299503,116205.56571300555,139926.70878800398,184866.73766287597,256490.28338548876,362622.3304218512,437737.92361791135,623750.9620307501,870668.4947126737,0,0
final_only:pareto_19_200609_237m_126n,permits units SA,29862,126,237,101553.4736348491,100984.4315616234,-90.125404575521,-0.08264692002408344,5.421791321202615,13.977984985022054,65.49927648548038,201608.0,202107.0,202407.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_19_200609_237m_126n,employment thousands SA,29862,126,237,171.64950438684616,180.40331133477954,18.1,28.4,39.7,50.4,61.6,109.6,196.27500000000003,370.8,512.0,1110.0169999999998,1221.9,0,0
final_only:pareto_20_200611_235m_127n,ZHVI all-homes SA,29845,127,235,216181.2979058998,111280.59512503361,70773.62398823531,87863.51456032527,105535.14250533358,116364.28341506398,139849.45449215607,184531.17855336203,255815.88400206147,361941.9124950417,437082.55280705786,622856.1519707362,870668.4947126737,0,0
final_only:pareto_20_200611_235m_127n,permits units SA,29845,127,235,101559.70658457722,100986.07391786783,-90.125404575521,-0.06816988169652013,5.554134805657024,14.151181934019622,66.8203962340695,201609.0,202108.0,202407.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_20_200611_235m_127n,employment thousands SA,29845,127,235,171.5784620539454,179.7794826509259,18.1,28.444,39.720000000000006,50.6,61.7,110.2,194.8,369.9,511.2,1109.556,1221.9,0,0
final_only:pareto_21_200707_227m_128n,ZHVI all-homes SA,29056,128,227,218009.6959029205,112841.68955644498,70773.62398823531,87728.80823158377,105623.18089075589,116648.17532071887,140705.47774200843,185924.21154575516,258153.07531389638,366919.80150569737,443256.3483761366,622851.559429887,870668.4947126737,0,0
final_only:pareto_21_200707_227m_128n,permits units SA,29056,128,227,101584.50035812112,100994.1260922512,-90.125404575521,-0.06617115274992078,5.826490429807002,14.470462534172249,68.68558873421533,201701.0,202110.0,202408.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_21_200707_227m_128n,employment thousands SA,29056,128,227,170.93001789647576,179.6302972022774,18.4,28.455,39.775,50.7,61.6,109.6,193.8,369.20000000000005,509.7,1109.545,1221.9,0,0
final_only:pareto_22_200708_226m_129n,ZHVI all-homes SA,29154,129,226,217744.40508828737,112677.19232758833,70773.62398823531,87740.02719333637,105817.40945999276,116683.29780916107,140446.73599641878,185659.1717526369,257926.09097534284,366229.02638016705,442837.74775260006,622533.6398619659,870668.4947126737,0,0
final_only:pareto_22_200708_226m_129n,permits units SA,29154,129,226,101141.44160109405,100997.07205820353,-90.125404575521,-0.0627377513868072,5.855355823910859,14.52115752650146,68.86135104802545,102499.47608268443,202110.0,202408.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_22_200708_226m_129n,employment thousands SA,29154,129,226,171.267558482541,179.00863216205502,18.4,28.553000000000004,39.8,50.8,61.7,110.2,196.975,368.3,508.93499999999983,1108.3350000000005,1221.9,0,0
final_only:pareto_23_200712_222m_130n,ZHVI all-homes SA,28860,130,222,217903.24929123285,112721.19117226059,70773.62398823531,87638.81279218842,105954.5071141604,116889.05717686174,140961.93721038508,185707.62619642686,257670.91402954017,366909.6293787785,443251.81864001404,622524.5209572383,870668.4947126737,0,0
final_only:pareto_23_200712_222m_130n,permits units SA,28860,130,222,101145.1716109009,101001.17434852665,-90.125404575521,-0.15022965360435434,5.330897182945903,14.09545817941148,68.0413283550232,102500.47608268443,202111.0,202408.0,202507.0,202604.0,202606.0,0,0
final_only:pareto_23_200712_222m_130n,employment thousands SA,28860,130,222,170.56863825363826,178.69261301007063,18.4,28.6,39.9,50.9,61.7,109.65,195.4,367.3,507.60499999999996,1107.7459999999999,1221.9,0,0
final_only:pareto_24_200802_220m_131n,ZHVI all-homes SA,28820,131,220,217736.33824523087,112685.67782066077,70773.62398823531,87724.446053854,106083.18293226874,117085.02188678297,140717.29414314457,185582.6588466887,257005.6008092952,366839.7512992229,443251.81864001404,622585.3136554213,870668.4947126737,0,0
final_only:pareto_24_200802_220m_131n,permits units SA,28820,131,220,101147.1062111268,101003.24199310067,-90.125404575521,-0.14077096121204147,5.49973315667758,14.23835527556967,68.1907527919137,102500.97608268443,202111.25,202408.1,202507.05,202604.0,202606.0,0,0
final_only:pareto_24_200802_220m_131n,employment thousands SA,28820,131,220,169.9114850798057,178.2634933756476,18.6,28.7,39.995000000000005,50.9,61.8,109.1,194.3,366.3,506.5,1105.9620000000002,1221.9,0,0
final_only:pareto_25_200803_219m_133n,ZHVI all-homes SA,29127,133,219,217602.1985670699,112227.95297126171,70773.62398823531,87866.0316983141,106398.54445507667,117336.94820409823,141172.09774542393,185472.70372933886,256856.69515423794,365303.5966207343,442321.91975330864,621548.7457625186,870668.4947126737,0,0
final_only:pareto_25_200803_219m_133n,permits units SA,29127,133,219,101607.81804524617,101002.65303646345,-90.125404575521,-0.18021328379228435,5.328132270035573,14.20086005980708,68.55717902633515,201705.0,202112.0,202409.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_25_200803_219m_133n,employment thousands SA,29127,133,219,169.13684897174443,177.20514602592007,18.8,28.800000000000004,40.2,51.1,61.8,109.1,192.85000000000002,364.5,501.80999999999915,1104.6479999999997,1221.9,0,0
final_only:pareto_26_200805_217m_134n,ZHVI all-homes SA,29078,134,217,217114.0494760785,112504.60123797845,49348.99715611694,83746.94266678621,105245.01816253265,116798.3403572606,140741.76936828496,184983.68888467783,256287.56288725958,365247.42163318535,442338.24943972006,621732.3080569191,870668.4947126737,0,0
final_only:pareto_26_200805_217m_134n,permits units SA,29078,134,217,101613.86629831267,101004.91329773187,-90.125404575521,-0.1591142318365456,5.466617614819518,14.355153261176113,67.84919516757752,201706.0,202112.0,202409.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_26_200805_217m_134n,employment thousands SA,29078,134,217,168.93927367769447,176.64180128454962,18.8,28.877,40.3,51.2,61.9,109.6,192.17499999999998,363.8299999999999,500.2,1103.7299999999996,1221.9,0,0
final_only:pareto_27_200806_216m_137n,ZHVI all-homes SA,29592,137,216,216177.22999430628,112166.56728469349,49348.99715611694,83191.74047001779,104196.58146777019,116230.05036993133,140091.46445901316,184085.6197221717,255125.3620563371,363534.5541856985,440327.97340561805,620308.1383103125,870668.4947126737,0,0
final_only:pareto_27_200806_216m_137n,permits units SA,29592,137,216,101149.31578851854,101009.17813259512,-90.125404575521,-0.1805989873450199,5.061562296199046,13.572499247213052,65.36936561635177,102501.97608268443,202134.25,202409.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_27_200806_216m_137n,employment thousands SA,29592,137,216,166.50381522032984,175.51327197804744,18.8,28.991000000000003,40.5,50.6,61.4,108.1,189.9,361.1,496.54499999999973,1095.354,1221.9,0,0
final_only:pareto_28_200807_215m_139n,ZHVI all-homes SA,29885,139,215,216370.99980415148,111893.4718866283,49348.99715611694,83363.19108650462,104545.67698122367,116505.09185445016,140179.84732773213,184679.03646192313,255527.25173195152,363786.4328708174,439155.59179080464,619806.2968376917,870668.4947126737,0,0
final_only:pareto_28_200807_215m_139n,permits units SA,29885,139,215,101618.47219999993,101008.71523811117,-90.125404575521,-0.14175018012783114,5.274794078896592,13.982814708756703,64.5709221496713,201707.0,202201.0,202409.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_28_200807_215m_139n,employment thousands SA,29885,139,215,164.7421415425799,174.9114932799621,18.8,29.0,39.2,49.1,60.9,106.6,188.6,359.6,484.0,1091.156,1221.9,0,0
final_only:pareto_29_200811_211m_140n,ZHVI all-homes SA,29540,140,211,216878.82062640213,112169.47108210667,49348.99715611694,83385.8531802156,104777.70093019666,116663.34725907493,140526.5249542212,184958.27308865343,256187.14164881397,364868.67462011083,440291.62447096495,620351.2038560148,870668.4947126737,0,0
final_only:pareto_29_200811_211m_140n,permits units SA,29540,140,211,101631.50039505059,101013.057648653,-90.125404575521,-0.11666114347664472,5.392120756957684,13.836715699673551,64.01565589279679,201709.0,202202.0,202409.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_29_200811_211m_140n,employment thousands SA,29540,140,211,164.00955314827354,174.73414546075858,18.8,29.0,39.3,48.3,60.6,105.55,187.9,359.0100000000002,482.8,1090.7050000000004,1221.9,0,0
final_only:pareto_30_200812_210m_142n,ZHVI all-homes SA,29820,142,210,217584.0646867956,112672.53362469976,49348.99715611694,83628.0167569078,105040.04103081154,116907.63612859117,140838.05716188418,185364.08528122038,256889.21975321465,366568.3050746639,443291.20997960266,619855.3447049904,870668.4947126737,0,0
final_only:pareto_30_200812_210m_142n,permits units SA,29820,142,210,101156.40646728245,101014.87893017792,-90.125404575521,-0.10339506483817329,5.500305849967279,14.01545205579242,65.18636372570168,102503.47608268443,202202.0,202409.1,202508.0,202604.0,202606.0,0,0
final_only:pareto_30_200812_210m_142n,employment thousands SA,29820,142,210,164.94037558685446,174.7886717042089,18.8,29.119000000000003,39.4,48.3,60.7,105.6,189.22499999999997,363.4100000000002,476.5099999999999,1088.4620000000002,1221.9,0,0
final_only:pareto_31_200901_209m_160n,ZHVI all-homes SA,33440,160,209,214164.9658961456,109158.31502831214,49348.99715611694,82773.91280215234,103586.55766930364,116030.55447403167,140271.94368686355,183334.9342815404,253362.64053488863,355131.79356387246,432215.5317171458,607566.5315238098,870668.4947126737,0,0
final_only:pareto_31_200901_209m_160n,permits units SA,33440,160,209,101634.99067200639,101018.2834487031,-90.125404575521,-0.06074778009617689,6.080832632741684,14.603967784652793,61.042346673488325,201710.0,202202.0,202410.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_31_200901_209m_160n,employment thousands SA,33440,160,209,155.30741028708132,167.16283168017856,18.8,30.200000000000003,38.8,48.1,60.4,96.7,178.5,340.2100000000002,437.70499999999987,1043.5490000000004,1221.9,0,0
final_only:pareto_32_200902_208m_162n,ZHVI all-homes SA,33696,162,208,213565.82741866523,109056.732481974,49348.99715611694,79563.44567840488,102239.21976704028,115516.68341942562,140088.05847756288,182609.2652830425,252614.18185884002,354267.8174104395,431539.59361672273,606838.0041125044,870668.4947126737,0,0
final_only:pareto_32_200902_208m_162n,permits units SA,33696,162,208,101153.12989394618,101022.36285680886,-90.125404575521,-0.11726993942479735,5.7688731636886255,14.0303716495002,59.22286906389233,102503.97608268443,202202.25,202410.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_32_200902_208m_162n,employment thousands SA,33696,162,208,154.1014571462488,166.55468115446848,18.8,30.3,38.9,48.1,59.9,95.5,177.8,339.6,435.8,1034.5250000000074,1221.9,0,0
final_only:pareto_33_200903_207m_163n,ZHVI all-homes SA,33741,163,207,213725.89291161604,108918.59901647744,49348.99715611694,79617.84404449273,102478.897712679,115656.87529439754,140373.6482493528,183062.0415298516,252839.4275393018,353984.13443392934,431455.5706867743,606727.8309161117,870668.4947126737,0,0
final_only:pareto_33_200903_207m_163n,permits units SA,33741,163,207,101640.9457580515,101021.38954456609,-90.125404575521,-0.10260703656887907,5.88305922299776,14.1110181225836,59.3815243996819,201711.0,202203.0,202410.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_33_200903_207m_163n,employment thousands SA,33741,163,207,153.5732639815062,166.25912104991173,18.8,30.299999999999997,39.0,48.2,59.9,94.8,177.5,339.0,435.2,1032.5999999999992,1221.9,0,0
final_only:pareto_34_200907_203m_165n,ZHVI all-homes SA,33495,165,203,214554.51049884123,109107.2696445464,49348.99715611694,79789.1938794558,102950.20972226627,116086.91010558693,140758.52953295162,184240.7416108227,254102.41252880037,355363.8844171534,432138.91520970885,607431.7963624431,870668.4947126737,0,0
final_only:pareto_34_200907_203m_165n,permits units SA,33495,165,203,101655.31425246254,101025.67834352587,-90.125404575521,-0.10058067816212303,6.09951665641929,14.41458977904464,61.1164763951588,201801.0,202204.0,202410.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_34_200907_203m_165n,employment thousands SA,33495,165,203,152.68653231825647,165.8086228255873,19.1,30.4,39.1,48.5,59.8,92.6,177.0,337.7600000000002,434.35999999999984,1032.0179999999993,1221.9,0,0
final_only:pareto_35_200909_201m_166n,ZHVI all-homes SA,33366,166,201,215273.44551371815,109168.4522988355,49348.99715611694,79867.84401077658,103154.36736969207,116329.87320704773,141391.10900221532,185536.75234631234,255188.96342075558,355600.6587969037,432282.5564174841,607761.6918749178,870668.4947126737,0,0
final_only:pareto_35_200909_201m_166n,permits units SA,33366,166,201,101662.0879452214,101027.62535552683,-90.125404575521,-0.0888829121816663,6.239143501623327,14.5889804291342,60.991424589408226,201802.0,202204.0,202410.0,202508.0,202604.0,202606.0,0,0
final_only:pareto_35_200909_201m_166n,employment thousands SA,33366,166,201,152.29637355391716,165.58342217209636,19.1,30.4,39.2,48.6,59.9,91.5,176.7,336.7,433.9,1031.2199999999982,1221.9,0,0
final_only:pareto_36_200911_199m_167n,ZHVI all-homes SA,33233,167,199,215740.77512666816,109160.52855816975,49348.99715611694,80128.35519134645,103375.38930449233,116573.33919168382,141950.54440925745,186100.45122604616,255710.23618064992,355851.74668076576,432542.0747860223,607985.0379655958,870668.4947126737,0,0
final_only:pareto_36_200911_199m_167n,permits units SA,33233,167,199,101668.83527389665,101029.76466999792,-90.125404575521,-0.10290723781432458,6.169295646626214,14.273051008815521,60.5403238841593,201803.0,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_36_200911_199m_167n,employment thousands SA,33233,167,199,151.80388168386847,165.43036109574803,19.2,30.5,39.3,48.3,59.7,90.5,176.4,335.9799999999999,433.2399999999998,1030.768,1221.9,0,0
final_only:pareto_37_200912_198m_168n,ZHVI all-homes SA,33264,168,198,217073.76773942306,110145.03272763184,49348.99715611694,80295.06535362334,103576.71511146052,116747.31051395801,142302.60014634603,186988.62947364722,258183.00083558567,359115.50854180777,436060.8608891168,607967.5613062718,870668.4947126737,0,0
final_only:pareto_37_200912_198m_168n,permits units SA,33264,168,198,101162.78811414726,101033.31166074057,-90.125404575521,-0.14252000156253647,6.022304342758312,14.03521263406098,59.37203406153058,102550.47608268443,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_37_200912_198m_168n,employment thousands SA,33264,168,198,151.21487794612796,165.22977779046386,19.2,30.5,39.2,47.7,59.4,90.0,175.9,333.7400000000002,432.28499999999985,1029.4400000000053,1221.9,0,0
final_only:pareto_38_201001_197m_169n,ZHVI all-homes SA,33293,169,197,216628.03717685802,110384.21961668019,49348.99715611694,80209.83654630672,101835.00201467356,115986.82073417661,141769.41026444745,186669.32793160784,257987.9772565092,359005.5792363928,435921.7918007281,607951.2121733557,870668.4947126737,0,0
final_only:pareto_38_201001_197m_169n,permits units SA,33293,169,197,101675.40164005912,101032.24710683474,-90.125404575521,-0.1623223158045074,5.64981684921992,13.76243093075606,59.3405797120557,201804.0,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_38_201001_197m_169n,employment thousands SA,33293,169,197,150.68570570390173,164.99772910551437,19.2,30.5,39.2,47.60000000000001,59.1,89.5,175.5,332.0,431.63999999999976,1025.664000000006,1221.9,0,0
final_only:pareto_39_201002_196m_170n,ZHVI all-homes SA,33320,170,196,216671.30274102266,110303.41752576652,49348.99715611694,80279.5836284427,102022.1633372942,116166.98631114008,141746.07440712178,186729.74180196563,257894.8866899171,358922.6417881376,435825.6006380451,607892.6221652105,870668.4947126737,0,0
final_only:pareto_39_201002_196m_170n,permits units SA,33320,170,196,101164.36379655688,101035.7136571021,-90.125404575521,-0.16299191909920355,5.654483223361641,13.7621092137259,58.58497148630254,102550.97608268443,202205.25,202411.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_39_201002_196m_170n,employment thousands SA,33320,170,196,150.16355042016806,164.76722955682652,19.2,30.519,39.2,47.6,58.9,89.1,175.0,330.9100000000002,431.20499999999987,1024.3399999999906,1221.9,0,0
final_only:pareto_40_201008_190m_171n,ZHVI all-homes SA,32490,171,190,218520.20215611,110924.49881309533,49348.99715611694,80793.29400237092,102833.75532953424,116745.92974381044,142949.75854914705,188472.5173461484,259878.01384614233,361478.9875897404,438548.6174882563,610322.8899187496,870668.4947126737,0,0
final_only:pareto_40_201008_190m_171n,permits units SA,32490,171,190,101170.68707376413,101041.81106952358,-90.125404575521,-0.0826200996000337,5.925965812847407,13.918759969029649,58.4638191075226,102552.47608268443,202207.0,202411.09999999998,202509.0,202605.0,202606.0,0,0
final_only:pareto_40_201008_190m_171n,employment thousands SA,32490,171,190,149.90343182517697,164.97130018335613,19.2,30.689,38.5,47.3,58.7,88.8,174.9,330.9,431.2,1028.9200000000012,1221.9,0,0
final_only:pareto_41_201009_189m_172n,ZHVI all-homes SA,32508,172,189,218916.04432575993,110792.80222422785,49348.99715611694,80939.17308662894,103055.6291299238,116980.41119417382,143350.32603343425,189291.35575993563,260163.50641777785,361351.6172834504,438441.22072463954,610262.7477797505,870668.4947126737,0,0
final_only:pareto_41_201009_189m_172n,permits units SA,32508,172,189,101705.12068926028,101040.56648457992,-90.125404575521,-0.07113149212730105,6.102333288497984,13.961767995428252,58.601491585524904,201808.0,202207.0,202412.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_41_201009_189m_172n,employment thousands SA,32508,172,189,149.33228436077275,164.77929045620346,19.2,30.7,38.4,46.8,58.5,88.1,174.2,329.9,430.3649999999998,1025.3790000000001,1221.9,0,0
final_only:pareto_42_201104_182m_173n,ZHVI all-homes SA,31486,173,182,220971.77925555917,111608.51597922265,49348.99715611694,81723.61848621201,103443.74120220015,117486.00748433813,144613.5560577358,191829.78468585602,263189.0510896749,365260.2876900299,442288.4996075058,612844.9391019739,870668.4947126737,0,0
final_only:pareto_42_201104_182m_173n,permits units SA,31486,173,182,101179.52163501794,101050.6501126984,-90.125404575521,-0.059939595374468475,6.290928946556617,14.11127929427815,57.9824308103385,102554.47608268443,202209.0,202412.0,202509.0,202605.0,202606.0,0,0
final_only:pareto_42_201104_182m_173n,employment thousands SA,31486,173,182,149.22992441084926,165.01404420143612,19.2,30.7,38.6,46.8,58.4,87.8,174.17499999999998,330.2,430.85,1030.9800000000018,1221.9,0,0
final_only:pareto_43_201105_181m_174n,ZHVI all-homes SA,31494,174,181,220900.4756086168,111589.16373994402,49348.99715611694,81969.01011700524,103642.97352943938,117648.19753387058,144472.73737559505,191585.1784581914,263052.51200105104,365080.11819376727,442286.44833835104,612838.056452801,870668.4947126737,0,0
