start_date,end_date,T_months,N_complete_msas,NT,NT_over_N_plus_T,number_excluded_for_ZHVI,number_excluded_for_permits_SA,number_excluded_for_employment_SA,number_excluded_for_geographic_ambiguity,number_containing_preliminary_BLS_observations,number_affected_by_X13_warnings,complete_cbsa_codes
2007-12-01,2026-05-01,222,130,28860,81.98863636363636,59,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-02-01,2026-05-01,220,131,28820,82.10826210826211,57,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;24780;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-03-01,2026-05-01,219,133,29127,82.7471590909091,54,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-05-01,2026-05-01,217,134,29078,82.84330484330485,52,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22420;22500;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-06-01,2026-05-01,216,137,29592,83.8300283286119,48,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22420;22500;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27100;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30020;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39660;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-07-01,2026-05-01,215,139,29885,84.42090395480226,46,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;16940;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22420;22500;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27100;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30020;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39660;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;44940;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-11-01,2026-05-01,211,140,29540,84.15954415954415,44,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;16940;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22420;22500;22540;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27100;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30020;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39660;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;44940;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-12-01,2026-05-01,210,142,29820,84.7159090909091,40,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;16940;17020;17420;17660;17820;17860;17900;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22420;22500;22540;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27100;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30020;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39660;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41100;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;44940;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2009-01-01,2026-05-01,209,160,33440,90.62330623306234,24,23,0,679,0,0,10180;10420;10500;10740;11020;11100;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13740;13780;13820;13900;14020;14260;14500;14540;16180;16300;16620;16820;16940;17020;17420;17660;17820;17860;17900;18020;18140;18580;19460;20020;20740;21300;21340;21500;21780;22180;22380;22420;22500;22540;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;26980;27060;27100;27140;27180;27260;27340;27740;27780;27860;28740;28940;29020;29180;29540;29700;29740;29940;30020;30620;30700;30980;31180;31340;31540;31740;31860;32780;32900;33260;33540;33660;33700;33780;33860;34060;35300;35660;36100;36220;36260;36420;37900;38300;38340;38540;38940;39380;39460;39660;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41100;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;44940;45060;45220;45460;45780;45820;46060;46140;46220;46340;46700;47220;47300;47380;47580;48140;48620;48660;48700;48900;49340;49420;49740
2009-02-01,2026-05-01,208,162,33696,91.07027027027027,22,23,0,679,0,0,10180;10420;10500;10740;11020;11100;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13740;13780;13820;13900;14020;14260;14500;14540;16180;16300;16620;16820;16940;17020;17420;17660;17820;17860;17900;18020;18140;18580;19460;20020;20220;20740;21300;21340;21500;21780;22180;22380;22420;22500;22540;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;26980;27060;27100;27140;27180;27260;27340;27740;27780;27860;28740;28940;29020;29180;29540;29700;29740;29940;30020;30620;30700;30980;31180;31340;31540;31740;31860;32780;32900;33260;33540;33660;33700;33780;33860;34060;34620;35300;35660;36100;36220;36260;36420;37900;38300;38340;38540;38940;39380;39460;39660;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41100;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;44940;45060;45220;45460;45780;45820;46060;46140;46220;46340;46700;47220;47300;47380;47580;48140;48620;48660;48700;48900;49340;49420;49740
