date,median,n_available,p10,p25,p75,p90,variable
2007-02-01,157962.34199225897,153,110715.50569787784,122624.48940003396,229669.96788929298,304677.80229679926,ZHVI all-homes SA
2007-03-01,158048.6152522132,153,111097.26668312088,122991.39114927879,228525.72069752356,304169.9429002496,ZHVI all-homes SA
2007-04-01,158590.07235140933,153,111347.85051248602,123282.76017816947,229418.37066837904,303988.61141084705,ZHVI all-homes SA
2007-05-01,159656.67352699456,153,111539.54369796271,123561.28441621659,230712.13465470387,303619.06002562534,ZHVI all-homes SA
2007-06-01,160397.27058166737,154,111780.4687188043,123755.49209332655,228725.24030881975,303867.2780021291,ZHVI all-homes SA
2007-07-01,161071.8677765857,155,112306.04458156473,124292.03572211128,230835.94345741748,304229.13656656805,ZHVI all-homes SA
2007-08-01,160647.04856015957,156,112898.55688010892,124706.64637318555,229998.68215400333,302936.7552762222,ZHVI all-homes SA
2007-09-01,160637.76066974355,155,113357.50290997062,124992.65862750559,229112.88781114592,302013.7417941861,ZHVI all-homes SA
2007-10-01,160612.28556987245,155,112753.8672189112,125251.9717505607,226394.26492468052,300994.7163988708,ZHVI all-homes SA
2007-11-01,161470.22961455735,154,113067.47409101257,126261.44530442683,224396.54904773508,296131.4228540361,ZHVI all-homes SA
2007-12-01,161004.63402422713,155,112504.0015252234,126535.8960794069,223190.4243316247,291064.1300682999,ZHVI all-homes SA
2008-01-01,160329.46185865943,155,111940.48959296366,126662.44076890244,222306.9846931545,288057.9718388105,ZHVI all-homes SA
2008-02-01,159615.4239010533,155,111502.06089200386,126815.05574101169,220237.31804043282,285292.3034519777,ZHVI all-homes SA
2008-03-01,158861.32632189424,158,110668.26944621262,126862.74928471114,217678.92405851922,280327.67278351926,ZHVI all-homes SA
2008-04-01,158974.6136362147,158,112312.66294587521,127581.90780393864,215999.49095856267,277146.23214024305,ZHVI all-homes SA
2008-05-01,159269.3105616795,157,111504.19208292589,127914.18379492105,214576.89548989187,275405.80367365933,ZHVI all-homes SA
2008-06-01,158234.05471899445,159,111072.41669568597,127309.62054554542,212345.388596896,272620.7866218486,ZHVI all-homes SA
2008-07-01,158425.45480115965,160,111307.61299591274,127161.00936661701,208905.00418301905,269066.1002973694,ZHVI all-homes SA
2008-08-01,158098.61230263227,161,110979.79457695487,127384.85698997237,205747.60824489605,264281.96672167565,ZHVI all-homes SA
2008-09-01,156342.32864004647,161,110448.06019961053,127404.2581206704,203241.1307768719,262700.599645944,ZHVI all-homes SA
2008-10-01,155841.26915913515,161,110503.28767672427,127282.15529701962,200527.49301577685,262683.0614456343,ZHVI all-homes SA
2008-11-01,155258.5716956657,161,110518.21184675535,127064.9583385773,197591.9107052295,262427.1739975049,ZHVI all-homes SA
2008-12-01,153684.56411613562,163,110713.95618648083,126757.75620898305,195185.33586783454,259322.00802870584,ZHVI all-homes SA
2009-01-01,150046.54271506393,181,109034.0296581629,125542.99826476432,189556.49558865294,248098.4220924319,ZHVI all-homes SA
2009-02-01,149723.50618628113,183,108282.567376656,124437.28130413569,188574.29069194722,246446.17475299508,ZHVI all-homes SA
2009-03-01,149175.94326253736,184,108371.88833574629,123823.56654304653,186315.3993230199,243550.09145692765,ZHVI all-homes SA
2009-04-01,148293.38914032478,185,108336.46387481401,123101.94044358558,185807.87004326252,238694.56896284394,ZHVI all-homes SA
2009-05-01,147911.80949706334,184,107932.71597204605,122261.71770611456,182770.84237267156,236509.58097495296,ZHVI all-homes SA
2009-06-01,147972.83377962012,184,107719.056653105,121901.84702975849,181212.58530529335,235968.52266592902,ZHVI all-homes SA
2009-07-01,147754.87002426927,186,107524.8519178291,121831.14316204438,181701.78337171584,232672.97742809594,ZHVI all-homes SA
2009-08-01,147455.54106645385,186,107129.77157727155,122128.41657688386,180526.3410026754,228443.5180282184,ZHVI all-homes SA
2009-09-01,146916.33569695582,187,106750.37927649927,122042.69898452173,180526.61440256127,224645.24974906474,ZHVI all-homes SA
2009-10-01,147069.47072322376,186,105915.58526091013,121614.31780043039,180408.32867038148,223937.84847563057,ZHVI all-homes SA
2009-11-01,146492.30673368645,187,105497.43287348273,122004.72862118867,176825.33856174833,220176.78536808386,ZHVI all-homes SA
2009-12-01,147021.04779631397,187,106272.73730973172,123072.56069672175,178604.35351474554,224871.60646979755,ZHVI all-homes SA
2010-01-01,146875.1279557618,187,104820.62754321603,122979.29369533056,177875.98358446598,224040.54213189098,ZHVI all-homes SA
2010-02-01,145830.2316937137,188,104700.63232742567,123336.9233572702,175597.799201465,222414.2513157588,ZHVI all-homes SA
2010-03-01,145740.58959421827,188,104722.20821438826,123649.47804217348,175158.3227138155,222547.91935845758,ZHVI all-homes SA
2010-04-01,145877.81571544762,188,104780.67731029038,124513.26507557051,175418.4602922711,222113.555557271,ZHVI all-homes SA
2010-05-01,146226.78628903098,188,104787.18590389234,124545.50907694716,176147.35910157723,221707.64191752078,ZHVI all-homes SA
2010-06-01,146739.63075216743,188,104716.36417287032,124392.779584564,176116.9088455846,221316.15340873005,ZHVI all-homes SA
2010-07-01,146152.53160475695,187,104113.66353079653,123952.91876702948,175745.78870483796,220768.12590016186,ZHVI all-homes SA
2010-08-01,146791.8297591154,188,103998.97176363948,123354.34299240568,174589.15899475542,219179.69758422504,ZHVI all-homes SA
2010-09-01,146757.41520648208,189,103910.60446312636,122653.98943772803,174275.4185922219,217398.40222576715,ZHVI all-homes SA
2010-10-01,146388.8733441054,189,103561.832746865,121929.535429827,174427.47285251308,216188.6923439699,ZHVI all-homes SA
2010-11-01,146013.70837444774,189,103183.50351871438,122092.4079144248,174453.72756304624,214958.0381749245,ZHVI all-homes SA
2010-12-01,144079.45928170552,189,102360.70215802647,121775.19018866353,174475.19281582095,213672.46619324843,ZHVI all-homes SA
2011-01-01,143797.1454822564,189,101322.07642101421,121371.34535526275,174289.5441541731,212683.52261259142,ZHVI all-homes SA
2011-02-01,143262.17704103302,188,100073.49453939917,120837.2443883076,174338.68690668422,211027.8915765125,ZHVI all-homes SA
2011-03-01,142698.367507213,187,99207.52495064965,120468.48869946996,174277.1489110025,209938.800233491,ZHVI all-homes SA
2011-04-01,142218.12718275402,188,98887.48707385892,119904.94559298216,173427.16919097077,208007.5566762102,ZHVI all-homes SA
2011-05-01,141219.5867768133,189,98700.60701267788,119167.94761248013,172699.06971824772,207562.59343122895,ZHVI all-homes SA
2011-06-01,139412.14733916693,189,98320.91112564623,118377.85237553746,172220.15694094764,206471.23100316513,ZHVI all-homes SA
2011-07-01,138579.05990279917,189,98064.53062733484,117677.75974080975,171983.2910816269,205421.14896573118,ZHVI all-homes SA
2011-08-01,137969.3685356904,189,98245.28569794237,117422.3865943487,171790.33218257874,205756.48893430788,ZHVI all-homes SA
2011-09-01,137544.22040804374,189,98763.32805384768,117795.50933594497,171431.15830680283,205250.90870864707,ZHVI all-homes SA
2011-10-01,136904.45951233094,189,99301.4466203176,117471.57889359123,170248.51481053713,204234.84202984633,ZHVI all-homes SA
2011-11-01,137135.68908882057,189,99409.2053189894,117132.01373510463,169874.49329559106,202061.6459779564,ZHVI all-homes SA
2011-12-01,137311.14574823104,189,99309.04562261936,117084.2121282749,169353.08041457814,200644.84407125774,ZHVI all-homes SA
2012-01-01,137382.32938822216,189,99144.93310658756,117031.87162630442,169338.3926625447,200377.5748913764,ZHVI all-homes SA
2012-02-01,137137.46347824717,190,99240.07160964367,117308.79980797443,170197.29245410772,200339.5932302967,ZHVI all-homes SA
2012-03-01,136878.24965440028,190,98862.68579647764,117529.39943693142,170497.40681927896,200909.1469184418,ZHVI all-homes SA
2012-04-01,137539.7840137962,190,98645.926961436,117837.1561432708,170651.94728554974,201477.9819888281,ZHVI all-homes SA
2012-05-01,138555.9481095927,189,98589.77370121508,118141.38458962004,171378.96172709196,200660.27703288407,ZHVI all-homes SA
2012-06-01,138908.82528044347,189,99199.19086424126,118275.52216595392,172174.09322123256,199844.01711998004,ZHVI all-homes SA
2012-07-01,139099.28400799326,189,100156.1622679692,118591.55214298924,171609.78553893045,199897.6193711661,ZHVI all-homes SA
2012-08-01,138962.95467800155,189,99943.3585280673,119233.51183934855,170842.1739358434,201767.31646373426,ZHVI all-homes SA
2012-09-01,138618.94281721837,190,99720.96687093507,119645.47996693091,170284.7906531295,202398.54958302964,ZHVI all-homes SA
2012-10-01,139421.36629271266,190,99088.39027723557,120252.76827581253,171294.07592136803,202189.66014047223,ZHVI all-homes SA
2012-11-01,139158.03809290362,190,98855.02225168997,119908.55175270324,171084.77803555015,203504.6715743391,ZHVI all-homes SA
2012-12-01,138690.37846758406,190,98913.24984745572,119949.72365394438,170848.48914827348,205413.43117492867,ZHVI all-homes SA
2013-01-01,138936.77402712213,190,98782.83654655096,120407.6055965123,171062.91377259832,208609.1211702589,ZHVI all-homes SA
2013-02-01,139474.70537597282,190,98792.62248038768,120484.85037210151,171528.24712697952,210987.44071701277,ZHVI all-homes SA
2013-03-01,139874.92499812704,190,99224.53730489429,120549.00070314173,172224.0890899351,211932.0289908761,ZHVI all-homes SA
2013-04-01,140980.21293118008,190,100445.63252256857,120819.60042719629,172901.1209483568,212547.91046610544,ZHVI all-homes SA
2013-05-01,142223.63889669086,190,101859.71157888431,121334.25619091201,173595.72909604714,213036.83351986768,ZHVI all-homes SA
2013-06-01,143357.87146594256,190,101714.20585720424,121756.87927293658,174059.84511389572,213897.03822399816,ZHVI all-homes SA
2013-07-01,143531.15073170591,190,102066.08104338366,121997.99022298133,174799.55665407138,214881.8617854482,ZHVI all-homes SA
2013-08-01,143653.51718298404,190,102504.23569033806,122287.06392319112,178309.58769674538,215679.3688865046,ZHVI all-homes SA
2013-09-01,144171.8836755665,190,102892.20242855106,122198.66684286032,179605.84405299142,216342.6236469114,ZHVI all-homes SA
2013-10-01,144696.790044713,190,102886.42413763943,122664.45028606258,181041.5444144333,218095.29278589255,ZHVI all-homes SA
2013-11-01,145132.41933654645,190,102471.5341012154,123036.79074874372,183054.1809082904,221206.4152091306,ZHVI all-homes SA
2013-12-01,146169.55120985687,190,102049.81376374522,123501.2247204269,184708.21483173658,223644.19841407525,ZHVI all-homes SA
2014-01-01,147020.0657410971,200,102093.26594033475,124211.8990673534,186496.22438958843,224838.45968006467,ZHVI all-homes SA
2014-02-01,147795.54667383415,200,102404.3283168198,124360.89861833258,187161.70537119388,225177.74903444512,ZHVI all-homes SA
2014-03-01,148689.72878572354,199,102022.61110390717,124683.2149101549,187455.0151514861,226451.91010297253,ZHVI all-homes SA
2014-04-01,149472.05848373874,200,101471.12653919151,125247.5423225175,188080.9846420597,228100.2105430814,ZHVI all-homes SA
2014-05-01,150406.30937386572,200,102089.13948938272,125651.51148338921,189687.156908734,229623.68266703415,ZHVI all-homes SA
2014-06-01,150981.92781445538,200,103173.68267944126,126124.0264312788,190857.92704178556,230530.26915841718,ZHVI all-homes SA
2014-07-01,151538.84863804196,200,104840.42206881104,126343.94164293035,191966.91943227692,231232.72578328795,ZHVI all-homes SA
2014-08-01,152127.39599479828,200,105220.29982740594,126544.92454735143,193084.3141951155,232296.77128021733,ZHVI all-homes SA
2014-09-01,152319.62486637072,201,105326.2199036128,126850.10108741494,194004.118989318,232408.86890233392,ZHVI all-homes SA
2014-10-01,152772.7031375776,201,105134.6907626125,126752.06818205815,193335.48590865763,233816.55719427066,ZHVI all-homes SA
2014-11-01,152958.63604158527,201,104984.16533633419,126797.11337654958,192636.37383542737,235423.46687618142,ZHVI all-homes SA
2014-12-01,152899.5372790382,201,105095.72824396908,127058.92414480874,193154.12447649197,237478.17065963396,ZHVI all-homes SA
2015-01-01,154307.28612204152,192,106704.43831071927,127961.45753786371,194431.554398766,238900.2346113919,ZHVI all-homes SA
2015-02-01,154643.02328370235,192,106710.14292825782,128509.28246670113,195190.89448851388,240261.87497492897,ZHVI all-homes SA
2015-03-01,155043.86924125382,192,107239.81477172402,128929.84406171885,196161.93363429286,241034.46407262754,ZHVI all-homes SA
2015-04-01,155328.6536933855,192,107449.89281597345,129362.10628216485,197342.6080302831,241797.26288758102,ZHVI all-homes SA
2015-05-01,155794.909348017,192,107608.34724825283,130097.26649371041,198862.71763836403,243068.3192169016,ZHVI all-homes SA
2015-06-01,157013.8225928803,192,108092.86647839284,130611.16172010203,200247.88687765825,244314.6621801933,ZHVI all-homes SA
2015-07-01,157885.16440838962,192,108214.54930230275,131228.8645251624,201093.70773492387,245192.54323585602,ZHVI all-homes SA
2015-08-01,158297.23471757144,192,109211.39678657032,132139.79977905424,202205.2156057229,246250.89471685258,ZHVI all-homes SA
2015-09-01,159007.5274499301,192,109701.8758306149,132783.4369341911,203377.66086206594,247544.9384726674,ZHVI all-homes SA
2015-10-01,159933.90916107246,192,109862.45542448398,133242.88136184815,204701.55559892373,249455.57208741675,ZHVI all-homes SA
