rep,feasible_true,oracle_true,truth_diff,feasible_estimate,oracle_estimate,diff_estimate,feasible_se,oracle_se,diff_se,feasible_z,oracle_z,diff_z,feasible_reject,oracle_reject,diff_reject
119,0.4668887320264525,0.4668887320264525,0.0,0.38473809220017796,0.38274666375822053,-0.0019914284419574324,0.049372078614515064,0.050803604111930245,0.0014315254974151814,-1.6639088758584852,-1.6562224223866198,0.007686453471865473,0,0,0
120,0.44651352131247124,0.44651352131247124,0.0,0.41745132978962396,0.42278266252371743,0.005331332734093475,0.03842698858162801,0.03987269029323169,0.0014457017116036794,-0.7562963582512409,-0.5951657290800383,0.16113062917120258,0,0,0
121,0.531623348607415,0.531623348607415,0.0,0.468544406751144,0.4698141676159263,0.00126976086478231,0.05298545828295048,0.05425165659636396,0.0012661983134134788,-1.1904953528838,-1.1393049515769302,0.051190401306869804,0,0,0
122,0.4794483658075225,0.4794483658075225,0.0,0.531629637508686,0.521513339113621,-0.010116298395065004,0.058307073508422846,0.05850230354853215,0.0001952300401093024,0.8949389595693832,0.7190310595411403,-0.17590790002824286,0,0,0
123,0.6177696048354507,0.6177696048354507,0.0,0.6182067635315124,0.6157746020226986,-0.002432161508813757,0.06923792355626653,0.07111292816616076,0.001875004609894232,0.006313862022542989,-0.02805401020881373,-0.03436787223135672,0,0,0
124,0.4337834617217151,0.4337834617217151,0.0,0.3846123627002692,0.3884153598501706,0.0038029971499013993,0.05800155025072429,0.059675953042203064,0.0016744027914787768,-0.847754910151421,-0.7602409271865336,0.08751398296488744,0,0,0
125,0.24658447860974983,0.24658447860974983,0.0,0.31297097555813513,0.3037629554163806,-0.009208020141754536,0.050304066195282826,0.05147782022558038,0.0011737540302975552,1.3197043891177644,1.110740053795394,-0.20896433532237046,0,0,0
126,0.37302861096759854,0.37302861096759854,0.0,0.40199539450398203,0.3965789700891936,-0.005416424414788401,0.04901841533244095,0.051746922425915956,0.0027285070934750036,0.5909367599897285,0.4551064685114601,-0.13583029147826842,0,0,0
127,0.40427467565013286,0.40427467565013286,0.0,0.40825723332413305,0.40896578926766214,0.0007085559435290878,0.04572986606772132,0.046817958280722584,0.0010880922130012613,0.08708876750486039,0.10019902169593015,0.013110254191069759,0,0,0
128,0.4533707654178745,0.4533707654178745,0.0,0.43289988934912127,0.4272966675142532,-0.005603221834868055,0.04684966549156808,0.04786752142273206,0.0010178559311639843,-0.43694817997019775,-0.5447137668431448,-0.10776558687294702,0,0,0
129,0.5053155082601666,0.5053155082601666,0.0,0.4609165869989193,0.4687838164821128,0.007867229483193516,0.04228453174048843,0.04479948689947006,0.0025149551589816327,-1.0500038532703977,-0.8154488880649636,0.23455496520543406,0,0,0
130,0.558053797094209,0.558053797094209,0.0,0.5699488984820015,0.5623237157689267,-0.007625182713074774,0.04281397239883385,0.04475670214714312,0.0019427297483092729,0.2778322290906246,0.09540288872669464,-0.18242934036392996,0,0,0
131,0.48594802973343004,0.48594802973343004,0.0,0.5469574364605678,0.5468796620597602,-7.777440080758424e-05,0.031777494310174896,0.03165099516386077,-0.00012649914631412268,1.9198935615135353,1.9251095269163028,0.005215965402767475,0,0,0
132,0.3592579962071685,0.3592579962071685,0.0,0.29229634769515345,0.3034315982173869,0.011135250522233464,0.048832698813398925,0.05012329662544251,0.0012905978120435826,-1.3712461145735775,-1.1137814499105425,0.25746466466303497,0,0,0
133,0.42684539443439623,0.42684539443439623,0.0,0.4465489294922346,0.4492840054711844,0.002735075978949786,0.03956445990432944,0.039759291557355435,0.00019483165302599387,0.4980109700848535,0.5643614400024957,0.06635046991764215,0,0,0
134,0.3800474348331917,0.3800474348331917,0.0,0.4696680060641038,0.47615061163552713,0.006482605571423328,0.04775254549510948,0.049632857225059515,0.0018803117299500335,1.8767705533119796,1.9362813703542572,0.059510817042277564,0,0,0
135,0.44591422355077825,0.44591422355077825,0.0,0.5304327296870616,0.5174725325820788,-0.012960197104982751,0.050596850171308945,0.051524773467042324,0.0009279232957333794,1.670430191802922,1.388813656348681,-0.28161653545424103,0,0,0
136,0.4754302236276708,0.4754302236276708,0.0,0.5090197149033067,0.4796392761855938,-0.029380438717712842,0.0366344877065379,0.0371729115450562,0.0005384238385182996,0.9168816975060742,0.11322902573346623,-0.8036526717726079,0,0,0
137,0.47395484671297766,0.47395484671297766,0.0,0.5582658974084842,0.5563832805729342,-0.0018826168355500217,0.04893898092710705,0.04806609702917169,-0.0008728838979353629,1.7227790423565417,1.7148975880011657,-0.007881454355376016,0,0,0
138,0.4450175532098099,0.4450175532098099,0.0,0.5462357313075252,0.5372722953099888,-0.008963435997536462,0.055973030298117156,0.05806778772992846,0.0020947574318113046,1.808338365077228,1.5887421530376342,-0.21959621203959379,0,0,0
139,0.5201647304682334,0.5201647304682334,0.0,0.4523423279845279,0.4557742530269758,0.003431925042447881,0.051633048770528,0.051669596213637425,3.654744310942204e-05,-1.3135463448057778,-1.2461966448319703,0.06734969997380746,0,0,0
140,0.45120233367539636,0.45120233367539636,0.0,0.43522557568021525,0.41946920063952653,-0.01575637504068872,0.056616106161725833,0.06009485376957191,0.0034787476078460763,-0.2821945746241001,-0.5280507571837608,-0.24585618255966074,0,0,0
141,0.497004131592621,0.497004131592621,0.0,0.41010190011956354,0.42614789307911854,0.016045992959555,0.05010035414619192,0.05017412616400576,7.377201781384041e-05,-1.7345632172474938,-1.4122067274653163,0.32235648978217757,0,0,0
142,0.444061640977319,0.444061640977319,0.0,0.4640548074375065,0.45282164696704463,-0.011233160470461856,0.057531782085083326,0.05894652989265452,0.0014147478075711914,0.3475151600661311,0.14860935844193363,-0.19890580162419746,0,0,0
143,0.44488444578383435,0.44488444578383435,0.0,0.4581958972528729,0.455614875905121,-0.0025810213477518995,0.03379785809991648,0.03345843905609814,-0.0003394190438183384,0.3938548836345181,0.32070922684992775,-0.07314565678459034,0,0,0
144,0.48766648042254745,0.48766648042254745,0.0,0.4331477757634573,0.4336374389243098,0.0004896631608524715,0.04601012381199269,0.04813621775697387,0.002126093944981179,-1.1849284492661953,-1.1224197499482615,0.06250869931793379,0,0,0
145,0.52489873463312,0.52489873463312,0.0,0.44147975046100424,0.4454566911010883,0.003976940640084081,0.05051272012552649,0.05164676853704863,0.0011340484115221414,-1.6514451006561444,-1.5381803311671705,0.1132647694889739,0,0,0
146,0.46083817910706804,0.46083817910706804,0.0,0.5960347619188812,0.5752052601553926,-0.020829501763488523,0.06044730626946691,0.06079345191964292,0.00034614565017600935,2.23660227652036,1.8812401243393049,-0.35536215218105505,1,0,-1
147,0.3980717748793202,0.3980717748793202,0.0,0.40839784470862345,0.411993266670344,0.0035954219617205796,0.055449932305332544,0.05369865407306335,-0.001751278232269192,0.18622330812674745,0.259252155036921,0.07302884691017356,0,0,0
148,0.331520924523258,0.331520924523258,0.0,0.3826166732104015,0.38164054010332527,-0.0009761331070762269,0.05178320794628217,0.051372582014617495,-0.00041062593166467376,0.9867242821292221,0.975610211022804,-0.011114071106418155,0,0,0
149,0.5542750265088402,0.5542750265088402,0.0,0.5477213328544996,0.5579695304975423,0.010248197643042634,0.05591382284306513,0.059167769324933235,0.0032539464818681085,-0.11721061664366943,0.06244115725257231,0.17965177389624173,0,0,0
150,0.3748951902062181,0.3748951902062181,0.0,0.4016741455451143,0.4132818685474316,0.011607723002317272,0.05597104375278192,0.057442827060086736,0.0014717833073048178,0.47844302238092973,0.6682588637404635,0.18981584135953378,0,0,0
151,0.27959776464039643,0.27959776464039643,0.0,0.20855922902966287,0.20866244289490082,0.0001032138652379555,0.048253207539263876,0.04906206160160295,0.0008088540623390761,-1.4722033877836858,-1.445828394279665,0.026374993504020727,0,0,0
152,0.31498399670356525,0.31498399670356525,0.0,0.2709240206543016,0.28934013324030794,0.01841611258600634,0.05684829675791414,0.06028542234346792,0.0034371255855537783,-0.77504478695098,-0.42537420269123966,0.34967058425974035,0,0,0
153,0.44894462177081973,0.44894462177081973,0.0,0.5336483682471036,0.5394986559943871,0.005850287747283467,0.049483007578172526,0.04788668424728307,-0.0015963233308894584,1.711774417560819,1.8910065636608588,0.1792321461000399,0,0,0
154,0.4287750704518486,0.4287750704518486,0.0,0.41594684139844446,0.41561422627202704,-0.00033261512641741264,0.049479887482504335,0.0496680229801634,0.00018813549765906573,-0.2592614839300128,-0.26497620380577214,-0.005714719875759333,0,0,0
155,0.5351267057986419,0.5351267057986419,0.0,0.5427216859841456,0.5358858911173286,-0.006835794866816958,0.05952464420275082,0.060355645390162034,0.0008310011874112164,0.12759387791775773,0.012578530372413877,-0.11501534754534384,0,0,0
156,0.5751199145663565,0.5751199145663565,0.0,0.5570188482379259,0.5574268805089664,0.00040803227104047046,0.04216470120716543,0.04283311353130511,0.0006684123241396805,-0.4292943104113467,-0.41306906266477494,0.016225247746571747,0,0,0
157,0.44193959801173127,0.44193959801173127,0.0,0.3885430493719615,0.3839924499032939,-0.004550599468667593,0.03864228026659442,0.04052418653569235,0.0018819062690979271,-1.3818167114203705,-1.4299398226636693,-0.04812311124329871,0,0,0
158,0.44539811520689543,0.44539811520689543,0.0,0.4471098859789392,0.4562724953687042,0.009162609389764986,0.04234507550671767,0.04409907118343102,0.0017539956767133463,0.04042431738661574,0.246589777743312,0.20616546035669625,0,0,0
159,0.3233914691281931,0.3233914691281931,0.0,0.28686697752752616,0.29919013091802193,0.012323153390495778,0.057367744636039116,0.0569796558319048,-0.0003880888041343164,-0.6366729567702375,-0.4247364757970343,0.21193648097320322,0,0,0
160,0.33563888990158497,0.33563888990158497,0.0,0.31317259832455224,0.31767419825999965,0.004501599935447409,0.045717645058616536,0.04629499191479558,0.0005773468561790437,-0.49141401636562293,-0.3880482725787866,0.10336574378683633,0,0,0
161,0.4078427836767233,0.4078427836767233,0.0,0.4214264228343386,0.4154623531350406,-0.005964069699298025,0.04287124408076436,0.04271099921973716,-0.00016024486102720475,0.3168473285269113,0.17839829546287567,-0.1384490330640356,0,0,0
162,0.34419519078861444,0.34419519078861444,0.0,0.3317688829002392,0.3242467041972146,-0.007522178703024629,0.07237719852310831,0.07213675610893398,-0.0002404424141743272,-0.17168815789972597,-0.27653706192825717,-0.1048489040285312,0,0,0
163,0.3946788484790929,0.3946788484790929,0.0,0.4270450036932188,0.42386058633625284,-0.0031844173569659517,0.05995695944942294,0.06186737434615916,0.0019104148967362192,0.5398231583345809,0.4716821776512259,-0.06814098068335506,0,0,0
164,0.48628612523797377,0.48628612523797377,0.0,0.48547152888041994,0.4830284572532286,-0.0024430716271913178,0.04363902636279228,0.04484778770734998,0.0012087613445576975,-0.01866669413707098,-0.07263832066818422,-0.053971626531113245,0,0,0
165,0.39134653853096113,0.39134653853096113,0.0,0.4347316145612225,0.43681968003923227,0.0020880654780097707,0.06464440350783149,0.06416951093263489,-0.0004748925751966032,0.6711342927776477,0.708640923818304,0.037506631040656324,0,0,0
166,0.3441550385777883,0.3441550385777883,0.0,0.26421543968814964,0.2528152444202892,-0.011400195267860458,0.05203173528820033,0.05191484910662225,-0.00011688618157807557,-1.5363623459194375,-1.7594155762623185,-0.22305323034288094,0,0,0
167,0.5149024391465566,0.5149024391465566,0.0,0.5555284340791123,0.5586514462039546,0.0031230121248422282,0.04893268273927196,0.04974549701662039,0.0008128142773484309,0.8302425425767724,0.8794566278588193,0.04921408528204685,0,0,0
168,0.32497883635299446,0.32497883635299446,0.0,0.31588857079318483,0.31070149592244345,-0.005187074870741382,0.029208046131462967,0.02946510886784646,0.0002570627363834947,-0.31122470564772137,-0.4845507442238244,-0.17332603857610301,0,0,0
