geometry,tuning,N,usable_T,maxiter,tol,ridge,number_of_solves,convergence_fraction,iterations_mean,iterations_median,iterations_max,relative_residual_median,relative_residual_max,solution_norm_median,solution_norm_max,number_reaching_maxiter,number_containing_nonfinite_values,target_name,estimate,se_white,se_xs,delta_estimate_vs_baseline,delta_white_se_vs_baseline,delta_xs_se_vs_baseline,total_runtime_sec,first_stage_monotone,first_stage_sweep_cap_hit_rate,first_stage_final_relative_objective_decrease_mean,retained_nonvalidation,retained_total,ranks
A_tiny_N20_T60,tol_1e-5_ridge_1e-5,20,60,2000,1e-05,1e-05,30,1.0,349.7,351.5,375,8.320892083128284e-06,9.845628854585053e-06,4.063675467831333,4.419574518277827,0,0,log_employment_mean,-8.696216021864771e-05,0.0008333333333333334,0.0008333333333333334,0.0005995770050900467,0.0,0.0,13.847715799929574,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
B_representative_N50_T100,baseline,50,100,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.01883632476870764,0.30406083880690427,16.866457152052636,18.73358345103185,30,0,asinh_permits_mean,0.07646245527204495,0.0024851838148803457,0.00437187066626292,0.0,0.0,0.0,45.0438853999367,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,baseline,50,100,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.01883632476870764,0.30406083880690427,16.866457152052636,18.73358345103185,30,0,lag_log_zhvi_mean,0.9175737261301331,0.002678845417487013,0.004687229962666307,0.0,0.0,0.0,45.0438853999367,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,baseline,50,100,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.01883632476870764,0.30406083880690427,16.866457152052636,18.73358345103185,30,0,log_employment_mean,8.307656949048328e-05,0.0002,0.0002,0.0,0.0,0.0,45.0438853999367,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,maxiter_2000,50,100,2000,1e-05,1e-06,30,1.0,997.9666666666667,966.0,1434,8.576147912366353e-06,9.920740426878765e-06,16.866467383438984,18.735035831837166,0,0,asinh_permits_mean,0.07644040848412965,0.0024835959862697017,0.0043734655313400735,-2.2046787915300237e-05,-1.5878286106440175e-06,1.5948650771537357e-06,55.08753720007371,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,maxiter_2000,50,100,2000,1e-05,1e-06,30,1.0,997.9666666666667,966.0,1434,8.576147912366353e-06,9.920740426878765e-06,16.866467383438984,18.735035831837166,0,0,lag_log_zhvi_mean,0.9175799878091722,0.0026793281518096347,0.004689246711627296,6.261679039054613e-06,4.827343226218063e-07,2.0167489609892314e-06,55.08753720007371,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,maxiter_2000,50,100,2000,1e-05,1e-06,30,1.0,997.9666666666667,966.0,1434,8.576147912366353e-06,9.920740426878765e-06,16.866467383438984,18.735035831837166,0,0,log_employment_mean,8.321711581651785e-05,0.0002,0.0002,1.4054632603456433e-07,0.0,0.0,55.08753720007371,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,tol_1e-5_ridge_1e-6,50,100,2000,1e-05,1e-06,30,1.0,997.9666666666667,966.0,1434,8.576147912366353e-06,9.920740426878765e-06,16.866467383438984,18.735035831837166,0,0,asinh_permits_mean,0.07644040848412965,0.0024835959862697017,0.0043734655313400735,-2.2046787915300237e-05,-1.5878286106440175e-06,1.5948650771537357e-06,77.32885319995694,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,tol_1e-5_ridge_1e-6,50,100,2000,1e-05,1e-06,30,1.0,997.9666666666667,966.0,1434,8.576147912366353e-06,9.920740426878765e-06,16.866467383438984,18.735035831837166,0,0,lag_log_zhvi_mean,0.9175799878091722,0.0026793281518096347,0.004689246711627296,6.261679039054613e-06,4.827343226218063e-07,2.0167489609892314e-06,77.32885319995694,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
B_representative_N50_T100,tol_1e-5_ridge_1e-6,50,100,2000,1e-05,1e-06,30,1.0,997.9666666666667,966.0,1434,8.576147912366353e-06,9.920740426878765e-06,16.866467383438984,18.735035831837166,0,0,log_employment_mean,8.321711581651785e-05,0.0002,0.0002,1.4054632603456433e-07,0.0,0.0,77.32885319995694,True,1.0,1.5623041307571888e-05,0.9005555555555557,0.8105,"1,1,1,2"
