DGP,target,T,N,true_value,mean_estimate,bias,rmse,se_type,mean_se,empirical_size,size_mcse,coverage,coverage_mcse,replications
DGP 3,lag entry,50,50,0.46354890760020495,0.5366455635683616,0.07309665596815668,3.666933346143582,spatial-kernel,0.5351366716263769,0.05,0.006892024376045111,0.95,0.006892024376045114,1000
DGP 3,lag group mean,50,50,0.4657211760172365,0.5546567055601954,0.08893552954295897,4.831008006766803,spatial-kernel,0.4449750227103783,0.062,0.007626008130076967,0.938,0.00762600813007697,1000
DGP 3,lag full mean,50,50,0.46555958622732846,0.5329754292390705,0.067415843011742,4.5226245357968065,spatial-kernel,0.43079752685849154,0.068,0.007960904471226871,0.932,0.00796090447122687,1000
DGP 3,lag contrast,50,50,0.00032317957981614653,0.043359310761383565,0.04303613118156743,1.2755331762133624,spatial-kernel,0.15256966975859182,0.066,0.007851369307324678,0.934,0.007851369307324675,1000
DGP 3,covariate entry,50,50,0.5879390753891719,0.43747946786398517,-0.15045960752518678,1.8152769151178636,spatial-kernel,0.9662264869285562,0.082,0.008676174272108648,0.918,0.008676174272108645,1000
DGP 3,covariate group mean,50,50,0.590477609534504,0.4148606474198652,-0.1756169621146388,1.2725300409623632,spatial-kernel,0.6099348970950759,0.074,0.00827792244467173,0.926,0.008277922444671728,1000
DGP 3,covariate full mean,50,50,0.5916198895289297,0.4159988543050305,-0.17562103522389927,1.4963592295798662,spatial-kernel,0.6026345985683377,0.069,0.008014923580421713,0.931,0.008014923580421711,1000
DGP 3,covariate contrast,50,50,-0.00228455998885139,-0.0022725027622760765,1.2057226575315382e-05,1.9578576320201202,spatial-kernel,0.3492895819293841,0.081,0.008627803892068943,0.919,0.008627803892068941,1000
DGP 3,lag entry,100,100,0.44779930015238545,0.44435622398263425,-0.0034430761697512623,0.15740991175971975,spatial-kernel,0.1482810340521172,0.076,0.008379976133617566,0.924,0.008379976133617564,1000
DGP 3,lag group mean,100,100,0.44769264558248334,0.44603893537227646,-0.0016537102102068533,0.12605243143768197,spatial-kernel,0.11397507492640767,0.074,0.00827792244467173,0.926,0.008277922444671728,1000
DGP 3,lag full mean,100,100,0.44769918240444706,0.44659719605650683,-0.001101986347940258,0.1253073402984484,spatial-kernel,0.11361454259894585,0.079,0.008529888627643388,0.921,0.008529888627643386,1000
DGP 3,lag contrast,100,100,-1.3073643927447185e-05,-0.0011165207870053417,-0.0011034471430778944,0.021284068332175506,spatial-kernel,0.021154355186001353,0.042,0.0063431853196954605,0.958,0.006343185319695463,1000
DGP 3,covariate entry,100,100,0.6015941343065296,0.5884359216293356,-0.01315821267719395,0.29914368023587484,spatial-kernel,0.2997675242401052,0.057,0.007331507348424334,0.943,0.007331507348424336,1000
DGP 3,covariate group mean,100,100,0.5982737136410287,0.5869592094064222,-0.0113145042346064,0.19734839721678837,spatial-kernel,0.19191023195450066,0.059,0.007451107300260815,0.941,0.007451107300260817,1000
DGP 3,covariate full mean,100,100,0.598269695515884,0.5872242416802097,-0.01104545383567427,0.19668773644506607,spatial-kernel,0.1906326650121934,0.06,0.007509993342207435,0.94,0.007509993342207438,1000
DGP 3,covariate contrast,100,100,8.036250289153558e-06,-0.0005300659629935709,-0.0005381022132827245,0.04568838835001479,spatial-kernel,0.04801347443100583,0.045,0.0065555320150236475,0.955,0.00655553201502365,1000
DGP 3,lag entry,200,200,0.42894640082629587,0.4255358900191423,-0.0034105108071534893,0.09484425470341769,spatial-kernel,0.09287553487055118,0.065,0.007795832219846705,0.935,0.0077958322198467015,1000
DGP 3,lag group mean,200,200,0.4295052554312577,0.43035498970722913,0.000849734275971381,0.07716487235865026,spatial-kernel,0.07318457885507604,0.06,0.007509993342207435,0.94,0.007509993342207438,1000
DGP 3,lag full mean,200,200,0.4294448168875235,0.4299501710266146,0.0005053541390911102,0.07692114883137116,spatial-kernel,0.07297117377433676,0.06,0.007509993342207435,0.94,0.007509993342207438,1000
DGP 3,lag contrast,200,200,0.00012087708746849275,0.0008096380710249433,0.0006887609835564507,0.00935448128672315,spatial-kernel,0.008966522064158435,0.045,0.0065555320150236475,0.955,0.00655553201502365,1000
DGP 3,covariate entry,200,200,0.6054241197077019,0.6021937184284182,-0.0032304012792839167,0.17177984242614472,spatial-kernel,0.16868591756871898,0.049,0.006826346021115542,0.951,0.006826346021115546,1000
DGP 3,covariate group mean,200,200,0.6028931064001848,0.5975020001030347,-0.005391106297150113,0.11384657003160241,spatial-kernel,0.11312627464559986,0.049,0.006826346021115542,0.951,0.006826346021115546,1000
DGP 3,covariate full mean,200,200,0.6023591524602204,0.5972481026202067,-0.005111049840013827,0.11358609875246584,spatial-kernel,0.11273799226605079,0.046,0.006624499981130651,0.954,0.006624499981130654,1000
DGP 3,covariate contrast,200,200,0.0010679078799287855,0.0005077941058685229,-0.0005601137740602626,0.01855134450060305,spatial-kernel,0.01832406307690492,0.045,0.0065555320150236475,0.955,0.00655553201502365,1000
DGP 3,lag entry,400,400,0.41190483544906986,0.4123231172900714,0.0004182818410015443,0.06474319786095575,spatial-kernel,0.0629303901077423,0.054,0.007147307185227175,0.946,0.0071473071852271785,1000
DGP 3,lag group mean,400,400,0.4113460427544378,0.41168086545151483,0.00033482269707701875,0.05324230471259866,spatial-kernel,0.0497105890024838,0.067,0.007906389820898032,0.933,0.007906389820898028,1000
DGP 3,lag full mean,400,400,0.41131400146667635,0.4117492802979323,0.00043527883125586404,0.05322988895708256,spatial-kernel,0.04966969565765872,0.068,0.007960904471226871,0.932,0.00796090447122687,1000
DGP 3,lag contrast,400,400,6.408257552285103e-05,-0.0001368299314860532,-0.00020091250700890418,0.004323727547163603,spatial-kernel,0.004219818357377026,0.05,0.006892024376045111,0.95,0.006892024376045114,1000
DGP 3,covariate entry,400,400,0.5882072041057795,0.5908687330299339,0.00266152892415437,0.10878281988400473,spatial-kernel,0.10122702787006901,0.052,0.007021111023192838,0.948,0.007021111023192843,1000
DGP 3,covariate group mean,400,400,0.5929583677527128,0.5951759763387594,0.0022176085860465045,0.0709492238237524,spatial-kernel,0.06854524223578298,0.058,0.007391616873188166,0.942,0.007391616873188169,1000
DGP 3,covariate full mean,400,400,0.5937491106608259,0.5960130344831347,0.0022639238223088167,0.07081890993169525,spatial-kernel,0.06853652372774074,0.059,0.007451107300260815,0.941,0.007451107300260817,1000
DGP 3,covariate contrast,400,400,-0.0015814858162260116,-0.0016741161610966343,-9.26303448706236e-05,0.008244301849598507,spatial-kernel,0.00772914336275088,0.063,0.007683163410991596,0.937,0.007683163410991592,1000
