cbsa_code,zhvi_earliest,zhvi_latest,zhvi_internal_missing_months,zhvi_longest_contiguous,permits_nsa_earliest,permits_nsa_latest,permits_nsa_internal_missing_months,permits_nsa_longest_contiguous,permits_sa_earliest,permits_sa_latest,permits_sa_internal_missing_months,permits_sa_longest_contiguous,employment_official_sa_earliest,employment_official_sa_latest,employment_official_sa_internal_missing_months,employment_official_sa_longest_contiguous,employment_local_x13_sa_earliest,employment_local_x13_sa_latest,employment_local_x13_sa_internal_missing_months,employment_local_x13_sa_longest_contiguous
14600,,,0,0,2007-12,2009-12,0,25,,,0,0,,,0,0,,,0,0
14740,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
14860,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15180,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15260,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15380,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15500,2016-02,2026-06,0,125,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15540,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15680,,,0,0,2014-01,2023-12,0,120,2014-01,2023-12,0,120,,,0,0,,,0,0
15940,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
15980,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16020,,,0,0,2009-01,2026-06,0,210,2009-01,2026-06,0,210,,,0,0,,,0,0
16060,,,0,0,2014-01,2023-12,84,24,,,0,0,,,0,0,,,0,0
16180,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16220,2010-09,2026-06,0,190,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16300,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16540,2001-05,2026-06,0,302,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
16580,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16620,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16700,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16740,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16820,2000-01,2026-06,2,238,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16860,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16940,2002-04,2026-06,1,216,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
16980,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17020,2001-01,2026-06,0,306,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17140,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17300,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17410,2000-01,2026-06,0,318,2024-01,2026-06,0,30,,,0,0,,,0,0,,,0,0
17420,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17460,,,0,0,2004-01,2023-12,0,240,2004-01,2023-12,0,240,,,0,0,,,0,0
17660,2007-07,2026-06,0,228,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17780,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17820,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17860,2005-08,2026-06,0,251,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17900,2000-01,2026-06,1,211,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
17980,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
18020,2001-06,2026-06,1,252,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
18140,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
18580,2004-11,2026-06,0,260,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
18700,2000-01,2026-06,1,199,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
18880,,,0,0,2010-01,2026-06,0,198,2010-01,2026-06,0,198,,,0,0,,,0,0
19060,,,0,0,2004-01,2023-12,0,240,2004-01,2023-12,0,240,,,0,0,,,0,0
19100,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19140,2000-01,2026-06,1,276,2004-01,2026-06,84,132,2004-01,2014-12,0,132,,,0,0,,,0,0
19180,,,0,0,2004-01,2023-12,0,240,2004-01,2023-12,0,240,,,0,0,,,0,0
19260,,,0,0,2004-01,2013-12,0,120,2004-01,2013-12,0,120,,,0,0,,,0,0
19300,,,0,0,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
19340,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19380,,,0,0,2004-01,2018-12,0,180,2004-01,2018-12,0,180,,,0,0,,,0,0
19430,,,0,0,2019-01,2026-06,0,90,2019-01,2026-06,0,90,,,0,0,,,0,0
19460,2006-08,2026-06,0,239,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19500,2000-01,2026-06,3,198,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19660,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19740,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19780,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
19820,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20020,2001-12,2026-06,0,295,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20100,2009-07,2026-06,0,204,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20220,2009-02,2026-06,0,209,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20260,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20500,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20580,2009-02,2026-06,0,209,2024-01,2026-06,0,30,,,0,0,,,0,0,,,0,0
20700,,,0,0,2014-01,2023-12,0,120,2014-01,2023-12,0,120,,,0,0,,,0,0
20740,2009-01,2026-06,0,210,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
20940,2001-01,2026-06,1,173,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21060,2000-01,2026-06,2,197,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21140,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21300,2000-01,2026-06,3,281,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21340,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21420,2000-01,2026-06,7,217,2016-01,2026-06,0,126,2016-01,2026-06,0,126,,,0,0,,,0,0
21500,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21660,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21780,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
21820,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22020,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22140,2009-11,2026-06,0,200,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22180,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22220,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22380,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22420,2000-01,2026-06,1,218,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22500,2005-09,2026-06,0,250,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22520,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22540,2008-11,2026-06,0,212,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
22660,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
