zillow_region_id,zillow_region_name,state_name,region_type,normalized_title,cbsa_code,official_title,classification,classification_reason,deterministic_rule
394392,"Blacksburg, VA",VA,msa,blacksburg va,,,unresolved,no deterministic exact-code or exact-title match,
753869,"Bloomington, IL",IL,msa,bloomington il,14010,"Bloomington, IL",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394393,"Bloomington, IN",IN,msa,bloomington in,14020,"Bloomington, IN",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394395,"Bloomsburg, PA",PA,msa,bloomsburg pa,,,unresolved,no deterministic exact-code or exact-title match,
394396,"Bluefield, WV",VA,msa,bluefield wv,,,unresolved,no deterministic exact-code or exact-title match,
394397,"Blytheville, AR",AR,msa,blytheville ar,14180,"Blytheville, AR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394398,"Bogalusa, LA",LA,msa,bogalusa la,14220,"Bogalusa, LA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394399,"Boise City, ID",ID,msa,boise city id,14260,"Boise City, ID",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394402,"Boone, NC",NC,msa,boone nc,14380,"Boone, NC",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394403,"Borger, TX",TX,msa,borger tx,14420,"Borger, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394404,"Boston, MA",MA,msa,boston ma,14460,"Boston, MA",metropolitan_division,exact normalized Census metropolitan division title match,division_title_exact
394405,"Boulder, CO",CO,msa,boulder co,14500,"Boulder, CO",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394406,"Bowling Green, KY",KY,msa,bowling green ky,14540,"Bowling Green, KY",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394407,"Bozeman, MT",MT,msa,bozeman mt,14580,"Bozeman, MT",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394409,"Bradford, PA",PA,msa,bradford pa,14620,"Bradford, PA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394410,"Brainerd, MN",MN,msa,brainerd mn,14660,"Brainerd, MN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394411,"Branson, MO",MO,msa,branson mo,14700,"Branson, MO",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
753871,"Breckenridge, CO",CO,msa,breckenridge co,14720,"Breckenridge, CO",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394412,"Bremerton, WA",WA,msa,bremerton wa,,,unresolved,no deterministic exact-code or exact-title match,
394413,"Brenham, TX",TX,msa,brenham tx,14780,"Brenham, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394414,"Brevard, NC",NC,msa,brevard nc,14820,"Brevard, NC",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394415,"Bridgeport, CT",CT,msa,bridgeport ct,,,unresolved,no deterministic exact-code or exact-title match,
394417,"Brookhaven, MS",MS,msa,brookhaven ms,15020,"Brookhaven, MS",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394418,"Brookings, OR",OR,msa,brookings or,15060,"Brookings, OR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394419,"Brookings, SD",SD,msa,brookings sd,15100,"Brookings, SD",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394421,"Brownsville, TX",TX,msa,brownsville tx,,,unresolved,no deterministic exact-code or exact-title match,
394422,"Brownwood, TX",TX,msa,brownwood tx,15220,"Brownwood, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394423,"Brunswick, GA",GA,msa,brunswick ga,15260,"Brunswick, GA",historical_or_retired_cbsa,observed in BPS/BLS but not current 2023 CBSA title,legacy_source_title_exact
394424,"Bucyrus, OH",OH,msa,bucyrus oh,15340,"Bucyrus, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394425,"Buffalo, NY",NY,msa,buffalo ny,,,unresolved,no deterministic exact-code or exact-title match,
394426,"Burley, ID",ID,msa,burley id,15420,"Burley, ID",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394427,"Burlington, IA",IA,msa,burlington ia,,,unresolved,no deterministic exact-code or exact-title match,
394428,"Burlington, NC",NC,msa,burlington nc,15500,"Burlington, NC",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394429,"Burlington, VT",VT,msa,burlington vt,,,unresolved,no deterministic exact-code or exact-title match,
394430,"Butte, MT",MT,msa,butte mt,,,unresolved,no deterministic exact-code or exact-title match,
394431,"Cadillac, MI",MI,msa,cadillac mi,15620,"Cadillac, MI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394432,"Calhoun, GA",GA,msa,calhoun ga,15660,"Calhoun, GA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
753872,"California, MD",MD,msa,california md,,,unresolved,no deterministic exact-code or exact-title match,
394433,"Cambridge, MD",MD,msa,cambridge md,15700,"Cambridge, MD",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394434,"Cambridge, OH",OH,msa,cambridge oh,15740,"Cambridge, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394435,"Camden, AR",AR,msa,camden ar,15780,"Camden, AR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394436,"Campbellsville, KY",KY,msa,campbellsville ky,15820,"Campbellsville, KY",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394439,"Canton, OH",OH,msa,canton oh,,,unresolved,no deterministic exact-code or exact-title match,
394440,"Cape Coral, FL",FL,msa,cape coral fl,,,unresolved,no deterministic exact-code or exact-title match,
394441,"Cape Girardeau, MO",MO,msa,cape girardeau mo,,,unresolved,no deterministic exact-code or exact-title match,
394442,"Carbondale, IL",IL,msa,carbondale il,16060,"Carbondale, IL",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394443,"Carlsbad, NM",NM,msa,carlsbad nm,,,unresolved,no deterministic exact-code or exact-title match,
394444,"Carson City, NV",NV,msa,carson city nv,16180,"Carson City, NV",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
