cbsa_code,cbsa_name,metro_micro_type,county_fips,county_name,state_name
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13073,Columbia County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13181,Lincoln County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13189,McDuffie County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13245,Richmond County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,45003,Aiken County,South Carolina
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,45037,Edgefield County,South Carolina
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48021,Bastrop County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48055,Caldwell County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48209,Hays County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48453,Travis County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48491,Williamson County,Texas
12540,"Bakersfield-Delano, CA",Metropolitan Statistical Area,06029,Kern County,California
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24003,Anne Arundel County,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24005,Baltimore County,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24013,Carroll County,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24025,Harford County,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24027,Howard County,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24035,Queen Anne's County,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24510,Baltimore city,Maryland
12620,"Bangor, ME",Metropolitan Statistical Area,23019,Penobscot County,Maine
12700,"Barnstable Town, MA",Metropolitan Statistical Area,25001,Barnstable County,Massachusetts
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22005,Ascension Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22007,Assumption Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22033,East Baton Rouge Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22037,East Feliciana Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22047,Iberville Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22063,Livingston Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22077,Pointe Coupee Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22091,St. Helena Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22121,West Baton Rouge Parish,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,22125,West Feliciana Parish,Louisiana
12980,"Battle Creek, MI",Metropolitan Statistical Area,26025,Calhoun County,Michigan
13020,"Bay City, MI",Metropolitan Statistical Area,26017,Bay County,Michigan
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,48199,Hardin County,Texas
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,48245,Jefferson County,Texas
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,48361,Orange County,Texas
13220,"Beckley, WV",Metropolitan Statistical Area,54019,Fayette County,West Virginia
13220,"Beckley, WV",Metropolitan Statistical Area,54081,Raleigh County,West Virginia
13380,"Bellingham, WA",Metropolitan Statistical Area,53073,Whatcom County,Washington
13460,"Bend, OR",Metropolitan Statistical Area,41013,Crook County,Oregon
13460,"Bend, OR",Metropolitan Statistical Area,41017,Deschutes County,Oregon
13460,"Bend, OR",Metropolitan Statistical Area,41031,Jefferson County,Oregon
13740,"Billings, MT",Metropolitan Statistical Area,30009,Carbon County,Montana
13740,"Billings, MT",Metropolitan Statistical Area,30095,Stillwater County,Montana
13740,"Billings, MT",Metropolitan Statistical Area,30111,Yellowstone County,Montana
13780,"Binghamton, NY",Metropolitan Statistical Area,36007,Broome County,New York
13780,"Binghamton, NY",Metropolitan Statistical Area,36107,Tioga County,New York
13820,"Birmingham, AL",Metropolitan Statistical Area,01007,Bibb County,Alabama
13820,"Birmingham, AL",Metropolitan Statistical Area,01009,Blount County,Alabama
13820,"Birmingham, AL",Metropolitan Statistical Area,01021,Chilton County,Alabama
13820,"Birmingham, AL",Metropolitan Statistical Area,01073,Jefferson County,Alabama
13820,"Birmingham, AL",Metropolitan Statistical Area,01115,St. Clair County,Alabama
13820,"Birmingham, AL",Metropolitan Statistical Area,01117,Shelby County,Alabama
13820,"Birmingham, AL",Metropolitan Statistical Area,01127,Walker County,Alabama
13900,"Bismarck, ND",Metropolitan Statistical Area,38015,Burleigh County,North Dakota
13900,"Bismarck, ND",Metropolitan Statistical Area,38059,Morton County,North Dakota
13900,"Bismarck, ND",Metropolitan Statistical Area,38065,Oliver County,North Dakota
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,51063,Floyd County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,51071,Giles County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,51121,Montgomery County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,51155,Pulaski County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,51750,Radford city,Virginia
14010,"Bloomington, IL",Metropolitan Statistical Area,17113,McLean County,Illinois
14020,"Bloomington, IN",Metropolitan Statistical Area,18105,Monroe County,Indiana
