cbsa,lat,lon
40460,35.004636,-79.755695
40580,35.941045,-77.798549
40660,34.26369,-85.213685
40770,34.441989,-87.842814
40820,32.601823,-92.662303
40900,38.790272,-121.005643
40980,43.328267,-84.05541
41060,45.593031,-94.488363
41140,39.834843,-94.783754
41180,38.740211,-90.345825
41400,40.770073,-80.778455
41420,44.903385,-122.901757
41540,38.197279,-75.769252
41620,40.572887,-112.953253
41700,29.43306,-98.606973
41780,41.519606,-82.794568
41820,35.476336,-79.172117
41860,37.773718,-122.274432
41940,36.908472,-121.371372
41980,18.294453,-66.036844
42100,37.012347,-122.007789
42140,35.514531,-105.963972
42340,32.109153,-81.273107
42460,34.764114,-85.980056
42620,35.255118,-91.753034
42660,47.490552,-121.833977
42680,27.700528,-80.574789
42780,40.755412,-77.07302
42820,32.333526,-87.11436
42860,34.748766,-83.06154
42900,42.782294,-76.827088
42940,35.787822,-83.5249
42980,38.911957,-86.042516
43020,44.851643,-88.745543
43060,35.211391,-96.957004
43140,35.33463,-81.557114
43180,35.51366,-86.458294
43220,47.350832,-123.173103
43300,33.624548,-96.675777
43340,32.437682,-93.744884
43380,40.33668,-84.204142
43460,36.94283,-89.427601
43580,42.508037,-96.311314
43640,30.410022,-89.951962
43740,39.981297,-79.028486
43780,41.774981,-86.123014
43890,43.945175,-90.619969
43900,34.83462,-81.842401
43940,44.348514,-103.806362
43980,43.081224,-95.149875
44020,43.389611,-95.196057
44060,48.091618,-117.663472
44100,39.828621,-89.696067
44140,42.136198,-72.635648
44220,39.917032,-83.783676
44260,33.514617,-89.077508
44300,40.909322,-77.847667
44340,32.351704,-81.775036
44420,38.160958,-79.127632
44580,41.750673,-89.911005
44620,44.476246,-89.49807
44700,37.934982,-121.272244
44780,41.911488,-85.52287
44860,33.148967,-95.565434
44900,34.474178,-85.345289
44940,33.91614,-80.382376
44980,40.885514,-76.712649
45020,32.312338,-100.418108
45060,43.006516,-76.196134
45180,33.186086,-86.197757
45220,30.346366,-84.267001
45380,39.545524,-89.279593
45580,32.881837,-84.292283
45660,41.119992,-83.127547
45860,41.854809,-73.221494
45940,40.282503,-74.703724
46020,39.297508,-120.771343
46060,32.128038,-111.783657
46100,35.44674,-86.134324
46140,36.254442,-96.177298
46180,34.384239,-88.508626
46340,32.375105,-95.268939
46460,36.361892,-89.148078
46500,40.132775,-83.767604
46580,18.270865,-66.702989
46700,38.267226,-121.939594
46780,40.85552,-84.585775
46980,32.356095,-90.852384
47020,28.731455,-97.196993
47220,39.328434,-75.121628
47260,36.837289,-76.391849
47420,46.29395,-96.790701
47460,46.254606,-118.48037
47540,40.561309,-84.224018
47580,32.492806,-83.711084
47660,38.741528,-93.811863
47700,41.244293,-85.861575
47820,35.482313,-76.842014
47900,38.829787,-77.495684
47920,39.555246,-83.461893
47930,41.518931,-73.087906
48020,43.013804,-88.773985
48140,44.898036,-89.757823
48200,35.558882,-82.981307
48220,35.449463,-98.991295
48260,40.388914,-80.701966
48580,42.66811,-88.541731
48620,37.637896,-97.246287
48680,28.713976,-82.069684
48700,41.343882,-77.055262
48940,39.416681,-83.804583
48980,35.700357,-77.921598
49010,35.155926,-86.099203
49020,39.272974,-78.471828
49100,43.981353,-91.777044
49180,36.078852,-80.345064
49220,44.461413,-90.038825
49300,40.829661,-81.887194
49340,42.311693,-71.940282
49620,39.921751,-76.728889
49660,41.195092,-80.76508
49700,39.160969,-121.511833
49780,39.966046,-81.943506
45000,40.715287,-120.621223
17020,39.665336,-121.603209
26020,32.795687,-103.413271
34020,29.629349,-91.463804
35020,31.542918,-91.382533
42020,35.388189,-120.448897
39040,47.805708,-123.527057
11060,34.594006,-99.412235
19060,39.532185,-78.807082
20060,31.459541,-82.867327
25060,30.480153,-88.999297
28060,48.295422,-114.052059
30060,37.659698,-92.594843
34060,39.525155,-79.801912
35060,31.732509,-93.082546
37060,34.221062,-89.584602
39060,40.703682,-76.217788
40060,37.411324,-77.441816
48060,43.996389,-76.052968
47080,32.154218,-82.411379
49080,41.407914,-118.127591
10100,45.519435,-98.7007
15100,44.376675,-96.797797
16100,32.457835,-104.306434
18100,41.574696,-97.353145
25100,36.746317,-101.483855
