Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202406,170,39020,5,Portsmouth  OH ,1,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,172,10620,5,Albemarle  NC ,30,30,5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,172,16740,2,Charlotte-Concord-Gastonia  NC-SC ,1384,1384,418746,1,2,50,0,0,0,22,650,90353,1304,1304,389644,1,2,50,0,0,0,21,637,88877
202406,172,25860,2,Hickory-Lenoir-Morganton  NC ,211,211,44909,13,26,3360,0,0,0,1,6,334,175,175,36158,12,24,3000,0,0,0,0,0,0
202406,172,32000,5,Marion  NC ,16,16,7332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,172,43140,5,Shelby-Kings Mountain  NC ,29,29,5595,1,2,200,0,0,0,1,21,3058,17,17,3863,1,2,200,0,0,0,0,0,0
202406,174,11940,5,Athens  TN ,11,11,2936,0,0,0,0,0,0,0,0,0,1,1,239,0,0,0,0,0,0,0,0,0
202406,174,16860,2,Chattanooga  TN-GA ,224,224,48116,4,8,575,3,10,1026,8,77,6294,177,177,37802,0,0,0,2,7,852,5,42,2798
202406,174,17420,2,Cleveland  TN ,66,66,16683,0,0,0,0,0,0,0,0,0,49,49,13604,0,0,0,0,0,0,0,0,0
202406,174,19140,2,Dalton  GA ,33,33,6193,2,4,261,1,3,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,174,42460,5,Scottsboro  AL ,4,4,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,174,44900,5,Summerville  GA ,1,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,176,16980,2,Chicago-Naperville-Elgin  IL-IN ,811,811,287497,7,14,4058,16,52,10086,24,508,151705,625,625,221537,6,12,3758,13,43,9373,18,473,145870
202406,176,28100,2,Kankakee  IL ,13,13,3975,1,2,400,0,0,0,1,5,500,8,8,2561,1,2,400,0,0,0,0,0,0
202406,176,28450,2,Kenosha  WI ,20,20,9456,0,0,0,0,0,0,0,0,0,16,16,7619,0,0,0,0,0,0,0,0,0
202406,176,33140,2,Michigan City-La Porte  IN ,12,12,5194,0,0,0,0,0,0,1,6,760,9,9,4466,0,0,0,0,0,0,0,0,0
202406,176,36837,5,Ottawa  IL ,8,8,3100,0,0,0,0,0,0,0,0,0,1,1,480,0,0,0,0,0,0,0,0,0
202406,178,17140,2,Cincinnati  OH-KY-IN ,326,326,111413,14,28,3842,6,19,4374,3,23,2908,290,290,102567,13,26,3460,4,13,3335,2,12,1537
202406,178,48940,5,Wilmington  OH ,6,6,2106,0,0,0,0,0,0,1,5,313,0,0,0,0,0,0,0,0,0,0,0,0
202406,184,10420,2,Akron  OH ,61,61,22063,2,4,1250,9,34,3743,3,29,1836,54,54,18925,2,4,1250,9,34,3743,3,29,1836
202406,184,15940,2,Canton-Massillon  OH ,28,28,11378,0,0,0,0,0,0,2,10,768,23,23,10599,0,0,0,0,0,0,0,0,0
202406,184,17410,2,Cleveland  OH ,249,249,71662,4,8,1700,2,6,1300,3,68,8320,156,156,44963,4,8,1700,2,6,1300,0,0,0
