Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200803,297,27180, ,Jackson  TN ,46,46,4023,0,0,0,1,4,225,0,0,0,46,46,4023,0,0,0,1,4,225,0,0,0
200803,298,27140, ,Jackson  MS ,155,155,26059,1,2,250,0,0,0,1,12,469,145,145,23873,0,0,0,0,0,0,0,0,0
200803,304,27740, ,Johnson City  TN ,50,50,6988,0,0,0,1,4,140,14,372,20518,23,23,4173,0,0,0,1,4,140,14,372,20518
200803,304,28700, ,Kingsport-Bristol-Bristol  TN-VA ,38,38,4399,0,0,0,0,0,0,2,13,774,16,16,1497,0,0,0,0,0,0,0,0,0
200803,308,27860, ,Jonesboro  AR ,39,39,4346,0,0,0,0,0,0,0,0,0,37,37,4109,0,0,0,0,0,0,0,0,0
200803,312,28140,C,Kansas City  MO-KS ,337,337,71156,5,10,1102,3,11,1382,7,120,8588,287,287,62472,5,10,1102,3,11,1382,6,115,7986
200803,314,28940, ,Knoxville  TN ,158,158,25010,0,0,0,0,0,0,1,23,1485,130,130,22020,0,0,0,0,0,0,0,0,0
200803,316,29020, ,Kokomo  IN ,5,5,778,0,0,0,0,0,0,0,0,0,5,5,778,0,0,0,0,0,0,0,0,0
200803,318,29180, ,Lafayette  LA ,71,71,9741,1,2,171,0,0,0,1,22,1075,18,18,2521,0,0,0,0,0,0,0,0,0
200803,320,29140, ,Lafayette  IN ,47,47,7849,0,0,0,0,0,0,0,0,0,47,47,7849,0,0,0,0,0,0,0,0,0
200803,324,29340, ,Lake Charles  LA ,23,23,3048,0,0,0,0,0,0,1,6,270,21,21,2836,0,0,0,0,0,0,1,6,270
200803,330,29620, ,Lansing-East Lansing  MI ,19,19,4087,0,0,0,0,0,0,1,5,198,11,11,2625,0,0,0,0,0,0,0,0,0
200803,332,29820,C,Las Vegas-Paradise  NV ,414,414,75222,0,0,0,0,0,0,2,113,13449,413,413,74780,0,0,0,0,0,0,2,113,13449
200803,336,30460, ,Lexington-Fayette  KY ,118,118,18865,0,0,0,0,0,0,0,0,0,100,100,15751,0,0,0,0,0,0,0,0,0
200803,338,30620, ,Lima  OH ,1,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,340,30780, ,Little Rock-North Little Rock  AR ,139,139,25719,1,2,116,0,0,0,1,11,556,117,117,22257,0,0,0,0,0,0,0,0,0
200803,340,38220, ,Pine Bluff  AR ,10,10,166,0,0,0,0,0,0,0,0,0,10,10,166,0,0,0,0,0,0,0,0,0
200803,346,30980, ,Longview  TX ,12,12,2317,0,0,0,0,0,0,1,14,644,0,0,0,0,0,0,0,0,0,0,0,0
200803,348,31100,C,Los Angeles-Long Beach-Santa Ana  CA ,347,347,112871,22,44,5055,3,9,1300,29,281,35204,301,301,97407,19,38,3702,1,3,1048,22,243,30914
200803,348,37100, ,Oxnard-Thousand Oaks-Ventura  CA ,42,42,11659,2,4,549,1,4,457,3,32,4146,23,23,6384,2,4,549,1,4,457,2,19,2930
200803,348,40140,C,Riverside-San Bernardino-Ontario  CA ,639,639,125704,4,8,971,1,3,350,9,64,6815,485,485,96999,2,4,511,0,0,0,7,54,5763
200803,350,21060, ,Elizabethtown  KY ,19,19,3472,0,0,0,0,0,0,0,0,0,19,19,3472,0,0,0,0,0,0,0,0,0
200803,350,31140,C,Louisville-Jefferson County  KY-IN ,258,258,50970,0,0,0,0,0,0,1,8,510,233,233,45222,0,0,0,0,0,0,1,8,510
200803,352,31180, ,Lubbock  TX ,77,77,12323,0,0,0,0,0,0,0,0,0,77,77,12323,0,0,0,0,0,0,0,0,0
200803,356,31420, ,Macon  GA ,18,18,2969,0,0,0,0,0,0,0,0,0,18,18,2969,0,0,0,0,0,0,0,0,0
200803,356,47580, ,Warner Robins  GA ,41,41,5535,0,0,0,0,0,0,0,0,0,36,36,4651,0,0,0,0,0,0,0,0,0
200803,358,31540,C,Madison  WI ,53,53,12008,5,10,1364,0,0,0,4,125,11414,42,42,10584,4,8,1095,0,0,0,3,116,10428
200803,360,31900, ,Mansfield  OH ,4,4,669,0,0,0,0,0,0,0,0,0,4,4,669,0,0,0,0,0,0,0,0,0
200803,372,33260,C,Midland  TX ,64,64,7064,0,0,0,0,0,0,0,0,0,64,64,7064,0,0,0,0,0,0,0,0,0
200803,372,36220,C,Odessa  TX ,21,21,5044,0,0,0,0,0,0,0,0,0,21,21,5044,0,0,0,0,0,0,0,0,0
200803,376,33340,C,Milwaukee-Waukesha-West Allis  WI ,111,111,28480,2,4,700,3,11,1189,3,26,1801,95,95,24315,2,4,700,2,8,900,1,16,1299
200803,376,39540, ,Racine  WI ,17,17,3655,0,0,0,0,0,0,0,0,0,17,17,3655,0,0,0,0,0,0,0,0,0
200803,378,33460,C,Minneapolis-St. Paul-Bloomington  MN-WI ,271,271,74646,2,4,555,2,6,1000,4,220,21669,233,233,64695,2,4,555,2,6,1000,3,215,20977
200803,378,41060, ,St. Cloud  MN ,12,12,1928,0,0,0,0,0,0,0,0,0,7,7,1351,0,0,0,0,0,0,0,0,0
200803,380,33660, ,Mobile  AL ,154,154,25721,0,0,0,0,0,0,0,0,0,154,154,25721,0,0,0,0,0,0,0,0,0
200803,384,33740, ,Monroe  LA ,20,20,3055,0,0,0,0,0,0,1,7,536,4,4,652,0,0,0,0,0,0,0,0,0
200803,388,33860, ,Montgomery  AL ,56,56,9399,0,0,0,0,0,0,1,8,762,42,42,6936,0,0,0,0,0,0,1,8,762
200803,392,34100, ,Morristown  TN ,10,10,1386,0,0,0,0,0,0,0,0,0,6,6,896,0,0,0,0,0,0,0,0,0
200803,396,34820, ,Myrtle Beach-North Myrtle Beach-Conway  SC ,215,215,32186,0,0,0,0,0,0,4,80,15204,186,186,26895,0,0,0,0,0,0,1,8,477
200803,400,34980,C,Nashville-Davidson--Murfreesboro  TN ,536,536,95304,8,16,1369,0,0,0,4,122,12104,432,432,76183,7,14,1269,0,0,0,4,122,12104
200803,406,35380,C,New Orleans-Metairie-Kenner  LA ,308,308,48377,20,40,2615,0,0,0,12,86,5921,302,302,47354,20,40,2615,0,0,0,12,86,5921
200803,408,14860, ,Bridgeport-Stamford-Norwalk  CT ,58,58,26432,1,2,105,0,0,0,3,45,3255,50,50,23231,0,0,0,0,0,0,3,45,3255
200803,408,28740, ,Kingston  NY ,7,7,1200,0,0,0,0,0,0,0,0,0,6,6,1020,0,0,0,0,0,0,0,0,0
200803,408,35300, ,New Haven-Milford  CT ,43,43,10466,0,0,0,0,0,0,1,13,799,26,26,7658,0,0,0,0,0,0,0,0,0
200803,408,35620,C,New York-Northern New Jersey-Long Island  NY-NJ-PA ,763,763,181690,131,262,26268,62,194,16414,88,1569,165689,526,526,126057,117,234,24177,60,188,16104,66,1420,153850
200803,408,39100, ,Poughkeepsie-Newburgh-Middletown  NY ,47,47,8729,0,0,0,0,0,0,1,7,869,30,30,5045,0,0,0,0,0,0,0,0,0
200803,408,45940,C,Trenton-Ewing  NJ ,41,41,6599,0,0,0,0,0,0,1,60,2320,34,34,6078,0,0,0,0,0,0,1,60,2320
200803,416,36420,C,Oklahoma City  OK ,322,322,59754,0,0,0,1,4,240,5,42,2537,146,146,35185,0,0,0,1,4,240,3,24,1380
200803,420,36540,C,Omaha-Council Bluffs  NE-IA ,210,210,29424,0,0,0,0,0,0,1,5,487,185,185,25514,0,0,0,0,0,0,0,0,0
200803,422,19660,C,Deltona-Daytona Beach-Ormond Beach  FL ,134,134,32690,0,0,0,0,0,0,2,29,5508,106,106,27930,0,0,0,0,0,0,0,0,0
200803,422,36740,C,Orlando-Kissimmee  FL ,621,621,126499,0,0,0,1,4,94,8,111,20971,459,459,104004,0,0,0,1,4,94,6,96,20129
200803,422,37380, ,Palm Coast  FL ,18,18,4145,0,0,0,0,0,0,0,0,0,18,18,4145,0,0,0,0,0,0,0,0,0
200803,426,37900, ,Peoria  IL ,43,43,11234,0,0,0,0,0,0,0,0,0,39,39,10628,0,0,0,0,0,0,0,0,0
200803,428,37980,C,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD ,551,551,93059,3,6,571,3,10,1001,30,456,37751,359,359,66961,3,6,571,2,7,626,21,398,32586
200803,428,47220,C,Vineland-Millville-Bridgeton  NJ ,33,33,4101,0,0,0,0,0,0,0,0,0,21,21,2773,0,0,0,0,0,0,0,0,0
200803,430,38300,C,Pittsburgh  PA ,260,260,50263,1,2,208,0,0,0,7,81,7910,198,198,40193,0,0,0,0,0,0,4,42,6664
200803,438,30340, ,Lewiston-Auburn  ME ,7,7,1195,0,0,0,0,0,0,1,6,324,3,3,597,0,0,0,0,0,0,1,6,324
200803,438,38860, ,Portland-South Portland-Biddeford  ME ,73,73,14721,2,4,500,1,3,261,1,5,925,49,49,9621,2,4,500,0,0,0,0,0,0
200803,442,38940,C,Port St. Lucie  FL ,98,98,23009,0,0,0,0,0,0,2,23,2731,89,89,21083,0,0,0,0,0,0,1,6,1186
200803,442,42680,C,Sebastian-Vero Beach  FL ,63,63,23083,0,0,0,0,0,0,0,0,0,61,61,20843,0,0,0,0,0,0,0,0,0
200803,450,20500,C,Durham  NC ,199,199,43465,2,4,370,0,0,0,2,54,4600,172,172,34826,2,4,370,0,0,0,2,54,4600
200803,450,39580,C,Raleigh-Cary  NC ,614,614,125436,0,0,0,0,0,0,20,480,47624,549,549,115226,0,0,0,0,0,0,20,480,47624
200803,456,39900,C,Reno-Sparks  NV ,84,84,16422,0,0,0,1,4,409,1,10,2040,36,36,7033,0,0,0,0,0,0,0,0,0
200803,464,40380, ,Rochester  NY ,67,67,13843,0,0,0,1,4,250,0,0,0,50,50,11268,0,0,0,1,4,250,0,0,0
200803,466,40420, ,Rockford  IL ,19,19,2648,0,0,0,0,0,0,0,0,0,13,13,1496,0,0,0,0,0,0,0,0,0
200803,472,40900,C,Sacramento--Arden-Arcade--Roseville  CA ,271,271,58000,0,0,0,0,0,0,6,36,4233,269,269,57539,0,0,0,0,0,0,6,36,4233
200803,472,49700, ,Yuba City  CA ,17,17,2290,0,0,0,0,0,0,0,0,0,9,9,865,0,0,0,0,0,0,0,0,0
200803,474,13020, ,Bay City  MI ,1,1,132,0,0,0,0,0,0,0,0,0,1,1,132,0,0,0,0,0,0,0,0,0
200803,474,40980, ,Saginaw-Saginaw Township North  MI ,2,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,476,41180,C,St. Louis  MO-IL ,445,445,97566,3,6,485,6,22,1545,2,13,1504,366,366,82160,2,4,305,6,22,1545,1,8,1200
200803,480,41540, ,Salisbury  MD ,18,18,2377,0,0,0,0,0,0,1,15,2056,9,9,1503,0,0,0,0,0,0,0,0,0
200803,482,36260, ,Ogden-Clearfield  UT ,89,89,19535,0,0,0,3,10,1154,3,18,2069,67,67,15238,0,0,0,2,7,687,2,13,1561
200803,482,41620,C,Salt Lake City  UT ,172,172,34598,1,2,198,0,0,0,6,99,14216,120,120,25887,0,0,0,0,0,0,3,76,11447
200803,488,34900, ,Napa  CA ,11,11,3325,0,0,0,0,0,0,0,0,0,11,11,3325,0,0,0,0,0,0,0,0,0
200803,488,41860,C,San Francisco-Oakland-Fremont  CA ,221,221,72443,9,18,2663,5,15,2971,18,336,42137,190,190,61697,8,16,2017,5,15,2971,13,306,38908
200803,488,41940,C,San Jose-Sunnyvale-Santa Clara  CA ,58,58,22821,0,0,0,0,0,0,5,135,16840,49,49,20711,0,0,0,0,0,0,4,117,13925
200803,488,42100, ,Santa Cruz-Watsonville  CA ,13,13,3927,0,0,0,0,0,0,0,0,0,13,13,3927,0,0,0,0,0,0,0,0,0
200803,488,42220, ,Santa Rosa-Petaluma  CA ,47,47,14034,0,0,0,2,6,714,0,0,0,47,47,14034,0,0,0,2,6,714,0,0,0
200803,488,46700, ,Vallejo-Fairfield  CA ,5,5,1208,0,0,0,0,0,0,0,0,0,5,5,1208,0,0,0,0,0,0,0,0,0
200803,492,42140,C,Santa Fe  NM ,13,13,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,494,14600,C,Bradenton-Sarasota-Venice  FL ,210,210,50662,0,0,0,4,15,1295,7,71,6454,30,30,13838,0,0,0,3,12,934,1,13,1215
200803,494,39460,C,Punta Gorda  FL ,27,27,5968,1,2,342,0,0,0,1,7,1455,25,25,5342,0,0,0,0,0,0,0,0,0
200803,496,25980, ,Hinesville-Fort Stewart  GA ,3,3,678,0,0,0,0,0,0,0,0,0,3,3,678,0,0,0,0,0,0,0,0,0
200803,496,42340, ,Savannah  GA ,131,131,21333,0,0,0,9,36,1875,0,0,0,131,131,21333,0,0,0,9,36,1875,0,0,0
200803,500,14740, ,Bremerton-Silverdale  WA ,43,43,9478,0,0,0,0,0,0,0,0,0,43,43,9478,0,0,0,0,0,0,0,0,0
200803,500,34580, ,Mount Vernon-Anacortes  WA ,35,35,7251,0,0,0,1,3,602,0,0,0,32,32,6431,0,0,0,0,0,0,0,0,0
200803,500,36500, ,Olympia  WA ,113,113,22028,4,8,1143,0,0,0,0,0,0,113,113,22028,4,8,1143,0,0,0,0,0,0
200803,500,42660,C,Seattle-Tacoma-Bellevue  WA ,703,703,164134,29,58,6545,24,85,9329,12,656,137608,635,635,147747,27,54,6328,24,85,9329,7,623,134622
200803,508,43340, ,Shreveport-Bossier City  LA ,75,75,11432,0,0,0,0,0,0,0,0,0,75,75,11432,0,0,0,0,0,0,0,0,0
200803,512,43580, ,Sioux City  IA-NE-SD ,15,15,3213,0,0,0,0,0,0,0,0,0,13,13,2854,0,0,0,0,0,0,0,0,0
200803,515,21140, ,Elkhart-Goshen  IN ,29,29,6778,0,0,0,0,0,0,0,0,0,29,29,6778,0,0,0,0,0,0,0,0,0
200803,515,43780, ,South Bend-Mishawaka  IN-MI ,28,28,5866,0,0,0,2,8,550,0,0,0,28,28,5866,0,0,0,2,8,550,0,0,0
200803,532,45060, ,Syracuse  NY ,42,42,8504,0,0,0,0,0,0,0,0,0,38,38,7569,0,0,0,0,0,0,0,0,0
200803,534,45780, ,Toledo  OH ,53,53,8254,2,4,230,0,0,0,0,0,0,43,43,6094,2,4,230,0,0,0,0,0,0
