Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9902,2030,9999,,Decatur  Al MSA ,28,28,3404,0,0,0,2,8,300,1,5,106,20,20,2773,0,0,0,2,8,300,0,0,0
9902,2040,9999,,Decatur  IL MSA ,1,1,100,1,2,225,0,0,0,0,0,0,1,1,100,1,2,225,0,0,0,0,0,0
9902,2082,1125,,Boulder-Longmont  CO PMSA ,159,159,22045,0,0,0,4,16,1183,0,0,0,159,159,22045,0,0,0,4,16,1183,0,0,0
9902,2082,2080,,Denver  CO PMSA ,1305,1305,177925,12,24,2908,11,38,3389,37,440,25391,1227,1227,167614,12,24,2908,10,35,3209,33,398,23553
9902,2082,3060,,Greeley  CO PMSA ,217,217,26265,1,2,138,1,3,156,1,15,624,171,171,21424,1,2,138,0,0,0,0,0,0
9902,2120,9999,,Des Moines  IA MSA ,179,179,24537,1,2,133,0,0,0,0,0,0,179,179,24537,1,2,133,0,0,0,0,0,0
9902,2162,0440,,Ann Arbor  MI PMSA ,253,253,29061,1,2,185,0,0,0,4,36,1437,169,169,17750,0,0,0,0,0,0,0,0,0
9902,2162,2160,,Detroit  MI PMSA ,876,876,129660,3,6,403,11,42,2066,6,49,2760,759,759,116950,3,6,403,9,36,1691,2,26,1859
9902,2162,2640,,Flint  MI PMSA ,140,140,16190,0,0,0,0,0,0,0,0,0,126,126,14854,0,0,0,0,0,0,0,0,0
9902,2180,9999,,Dothan  AL MSA ,33,33,1731,0,0,0,0,0,0,0,0,0,33,33,1731,0,0,0,0,0,0,0,0,0
9902,2190,9999,,Dover  DE MSA ,42,42,4049,0,0,0,0,0,0,0,0,0,41,41,3963,0,0,0,0,0,0,0,0,0
9902,2200,9999,,Dubuque  IA MSA ,12,12,1420,0,0,0,0,0,0,0,0,0,12,12,1420,0,0,0,0,0,0,0,0,0
9902,2240,9999,,Duluth-Superior  MN-WI MSA ,18,18,1694,0,0,0,0,0,0,1,5,228,9,9,763,0,0,0,0,0,0,0,0,0
9902,2290,9999,,Eau Claire  WI MSA ,12,12,1539,2,4,280,1,4,206,0,0,0,11,11,1412,2,4,280,1,4,206,0,0,0
9902,2320,9999,,El Paso  TX MSA ,209,209,10321,1,2,73,1,3,117,1,28,1077,9,9,389,0,0,0,0,0,0,0,0,0
9902,2330,9999,,Elkhart-Goshen  IN MSA ,76,76,8791,8,16,920,1,3,410,0,0,0,71,71,8372,8,16,920,1,3,410,0,0,0
9902,2335,9999,,Elmira  NY MSA ,1,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,2340,9999,,Enid  OK MSA ,1,1,210,0,0,0,0,0,0,0,0,0,1,1,210,0,0,0,0,0,0,0,0,0
9902,2360,9999,,Erie  PA MSA ,26,26,3319,0,0,0,0,0,0,1,8,392,25,25,3230,0,0,0,0,0,0,1,8,392
9902,2400,9999,,Eugene-Springfield  OR MSA ,75,75,10149,7,14,932,1,3,239,0,0,0,73,73,9916,7,14,932,1,3,239,0,0,0
9902,2440,9999,,Evansville-Henderson  IN-KY MSA ,85,85,8916,2,4,447,4,16,1030,0,0,0,55,55,5308,1,2,235,4,16,1030,0,0,0
9902,2520,9999,,Fargo-Moorhead  ND-MN MSA ,4,4,1294,0,0,0,0,0,0,0,0,0,3,3,1150,0,0,0,0,0,0,0,0,0
9902,2560,9999,,Fayetteville  NC MSA ,60,60,5600,1,2,86,0,0,0,2,10,1100,60,60,5600,1,2,86,0,0,0,2,10,1100
9902,2580,9999,,Fayetteville-Springdale-Rogers  AR MSA ,139,139,14259,5,10,411,1,3,89,4,42,1101,139,139,14259,5,10,411,1,3,89,4,42,1101
