cbsa_code,date,unemployment_rate_sa,seasonal_adjustment_source,preliminary_flag,laus_source,raw_line_number
10180,1999-02-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,43157
10180,1999-03-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,43550
10180,1999-04-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,43943
10180,1999-05-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,44336
10180,1999-06-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,44729
10180,1999-07-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,45122
10180,1999-08-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,45515
10180,1999-09-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,45908
10180,1999-10-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,46301
10180,1999-11-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,46694
10180,1999-12-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,47087
10180,2000-01-01,4.4,official BLS smoothed SA metro table,0,ssamatab1.txt,47480
10180,2000-02-01,4.4,official BLS smoothed SA metro table,0,ssamatab1.txt,47873
10180,2000-03-01,4.4,official BLS smoothed SA metro table,0,ssamatab1.txt,48266
10180,2000-04-01,4.3,official BLS smoothed SA metro table,0,ssamatab1.txt,48659
10180,2000-05-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,49052
10180,2000-06-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,49445
10180,2000-07-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,49838
10180,2000-08-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,50231
10180,2000-09-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,50624
10180,2000-10-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,51017
10180,2000-11-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,51410
10180,2000-12-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,51803
10180,2001-01-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,52196
10180,2001-02-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,52589
10180,2001-03-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,52982
10180,2001-04-01,4.3,official BLS smoothed SA metro table,0,ssamatab1.txt,53375
10180,2001-05-01,4.4,official BLS smoothed SA metro table,0,ssamatab1.txt,53768
10180,2001-06-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,54161
10180,2001-07-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,54554
10180,2001-08-01,4.6,official BLS smoothed SA metro table,0,ssamatab1.txt,54947
10180,2001-09-01,4.6,official BLS smoothed SA metro table,0,ssamatab1.txt,55340
10180,2001-10-01,4.7,official BLS smoothed SA metro table,0,ssamatab1.txt,55733
10180,2001-11-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,56126
10180,2001-12-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,56519
10180,2002-01-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,56912
10180,2002-02-01,4.9,official BLS smoothed SA metro table,0,ssamatab1.txt,57305
10180,2002-03-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,57698
10180,2002-04-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,58091
10180,2002-05-01,5.1,official BLS smoothed SA metro table,0,ssamatab1.txt,58484
10180,2002-06-01,5.1,official BLS smoothed SA metro table,0,ssamatab1.txt,58877
10180,2002-07-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,59270
10180,2002-08-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,59663
10180,2002-09-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,60056
10180,2002-10-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,60449
10180,2002-11-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,60842
10180,2002-12-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,61235
10180,2003-01-01,5.3,official BLS smoothed SA metro table,0,ssamatab1.txt,61628
10180,2003-02-01,5.3,official BLS smoothed SA metro table,0,ssamatab1.txt,62021
10180,2003-03-01,5.4,official BLS smoothed SA metro table,0,ssamatab1.txt,62414
10180,2003-04-01,5.4,official BLS smoothed SA metro table,0,ssamatab1.txt,62807
10180,2003-05-01,5.5,official BLS smoothed SA metro table,0,ssamatab1.txt,63200
10180,2003-06-01,5.5,official BLS smoothed SA metro table,0,ssamatab1.txt,63593
10180,2003-07-01,5.5,official BLS smoothed SA metro table,0,ssamatab1.txt,63986
10180,2003-08-01,5.5,official BLS smoothed SA metro table,0,ssamatab1.txt,64379
10180,2003-09-01,5.4,official BLS smoothed SA metro table,0,ssamatab1.txt,64772
10180,2003-10-01,5.3,official BLS smoothed SA metro table,0,ssamatab1.txt,65165
10180,2003-11-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,65558
10180,2003-12-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,65951
10180,2004-01-01,5.1,official BLS smoothed SA metro table,0,ssamatab1.txt,66344
10180,2004-02-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,66737
10180,2004-03-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,67130
10180,2004-04-01,4.9,official BLS smoothed SA metro table,0,ssamatab1.txt,67523
10180,2004-05-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,67916
10180,2004-06-01,4.7,official BLS smoothed SA metro table,0,ssamatab1.txt,68309
