Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200304,1540,9999,,Charlottesville  VA MSA ,121,121,9380,2,4,231,2,8,681,0,0,0,80,80,4052,2,4,231,2,8,681,0,0,0
200304,1560,9999,,Chattanooga  TN-GA MSA ,233,233,30748,3,6,295,1,3,50,1,5,247,228,228,30330,3,6,295,0,0,0,0,0,0
200304,1580,9999,,Cheyenne  WY MSA ,40,40,4823,0,0,0,0,0,0,0,0,0,15,15,1741,0,0,0,0,0,0,0,0,0
200304,1602,1600,,Chicago  IL PMSA ,2897,2897,527863,30,60,6393,38,142,21644,51,757,75779,2165,2165,397171,8,16,1400,5,20,1863,15,122,11629
200304,1602,2960,,Gary  IN PMSA ,297,297,49434,19,38,4174,5,20,1500,1,9,1238,274,274,44917,19,38,4174,5,20,1500,0,0,0
200304,1602,3740,,Kankakee  IL PMSA ,63,63,9890,3,6,659,1,4,200,0,0,0,62,62,9784,2,4,476,1,4,200,0,0,0
200304,1602,3800,,Kenosha  WI PMSA ,72,72,11856,2,4,494,1,3,390,3,24,2188,68,68,11301,2,4,494,1,3,390,3,24,2188
200304,1620,9999,,Chico-Paradise  CA MSA ,126,126,15058,0,0,0,0,0,0,0,0,0,125,125,14913,0,0,0,0,0,0,0,0,0
200304,1642,1640,,Cincinnati  OH-KY-IN PMSA ,837,837,113307,3,6,420,7,28,2378,8,71,3280,763,763,104728,3,6,420,7,28,2378,6,58,2855
200304,1642,3200,,Hamilton-Middletown  OH PMSA ,252,252,41986,1,2,160,5,15,600,1,24,600,252,252,41986,1,2,160,5,15,600,1,24,600
200304,1660,9999,,Clarksville-Hopkinsville  TN-KY MSA ,108,108,9249,0,0,0,1,3,260,14,112,4273,70,70,5434,0,0,0,1,3,260,14,112,4273
200304,1692,0080,,Akron  OH PMSA ,217,217,37633,2,4,500,0,0,0,0,0,0,149,149,28617,2,4,500,0,0,0,0,0,0
200304,1692,1680,,Cleveland-Lorain-Elyria  OH PMSA ,668,668,121890,3,6,650,6,21,1421,0,0,0,390,390,81033,1,2,260,1,3,225,0,0,0
200304,1720,9999,,Colorado Springs  CO MSA ,456,456,57542,0,0,0,0,0,0,0,0,0,456,456,57542,0,0,0,0,0,0,0,0,0
200304,1740,9999,,Columbia  MO MSA ,129,129,16369,4,8,410,1,4,352,0,0,0,129,129,16369,4,8,410,1,4,352,0,0,0
200304,1760,9999,,Columbia  SC MSA ,419,419,41554,0,0,0,0,0,0,0,0,0,419,419,41554,0,0,0,0,0,0,0,0,0
200304,1800,9999,,Columbus  GA-AL MSA ,110,110,15525,0,0,0,0,0,0,0,0,0,110,110,15525,0,0,0,0,0,0,0,0,0
200304,1840,9999,,Columbus  OH MSA ,1183,1183,189704,6,12,960,23,88,6044,31,373,15384,376,376,57628,2,4,350,7,27,1611,0,0,0
200304,1880,9999,,Corpus Christi  TX MSA ,97,97,10802,1,2,138,2,6,408,1,10,427,1,1,98,0,0,0,0,0,0,0,0,0
200304,1890,9999,,Corvallis OR MSA ,17,17,4045,3,6,517,0,0,0,0,0,0,17,17,4045,3,6,517,0,0,0,0,0,0
200304,1900,9999,,Cumberland  MD-WV MSA ,19,19,4720,0,0,0,0,0,0,0,0,0,19,19,4720,0,0,0,0,0,0,0,0,0
200304,1922,1920,,Dallas  TX PMSA ,2427,2427,409594,0,0,0,0,0,0,32,987,49743,2204,2204,374052,0,0,0,0,0,0,29,951,47527
200304,1922,2800,,Fort Worth-Arlington  TX PMSA ,1338,1338,174277,2,4,195,1,4,200,11,216,16546,1209,1209,153279,1,2,75,1,4,200,11,216,16546
200304,1950,9999,,Danville  VA MSA ,22,22,3169,0,0,0,0,0,0,0,0,0,3,3,776,0,0,0,0,0,0,0,0,0
200304,1960,9999,,Davenport-Moline-Rock Island  IA-IL MSA ,54,54,8071,1,2,180,0,0,0,5,53,5555,49,49,7296,1,2,180,0,0,0,4,48,4913
200304,2000,9999,,Dayton-Springfield  OH MSA ,251,251,38202,6,12,1002,7,28,2596,12,128,9560,238,238,36499,6,12,1002,7,28,2596,12,128,9560
200304,2020,9999,,Daytona Beach  FL MSA ,558,558,76075,9,18,1423,16,63,2001,3,96,5889,408,408,53538,9,18,1423,16,63,2001,1,76,3653
200304,2030,9999,,Decatur  Al MSA ,35,35,3926,0,0,0,0,0,0,0,0,0,35,35,3926,0,0,0,0,0,0,0,0,0
200304,2040,9999,,Decatur  IL MSA ,10,10,1291,0,0,0,0,0,0,0,0,0,10,10,1291,0,0,0,0,0,0,0,0,0
