Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201005,422,19660,C,Deltona-Daytona Beach-Ormond Beach  FL ,49,49,12825,0,0,0,0,0,0,1,6,588,36,36,9546,0,0,0,0,0,0,0,0,0
201005,422,36740,C,Orlando-Kissimmee-Sanford  FL ,315,315,69718,0,0,0,0,0,0,1,10,1649,310,310,67652,0,0,0,0,0,0,1,10,1649
201005,422,37380, ,Palm Coast  FL ,12,12,3025,0,0,0,0,0,0,0,0,0,12,12,3025,0,0,0,0,0,0,0,0,0
201005,426,37900, ,Peoria  IL ,27,27,6614,0,0,0,0,0,0,0,0,0,19,19,4722,0,0,0,0,0,0,0,0,0
201005,428,37980,C,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD ,418,418,69843,12,24,1911,7,22,1984,10,90,5854,232,232,40833,11,22,1792,7,22,1984,2,46,2719
201005,428,39740, ,Reading  PA ,16,16,3820,0,0,0,0,0,0,0,0,0,13,13,3144,0,0,0,0,0,0,0,0,0
201005,428,47220,C,Vineland-Millville-Bridgeton  NJ ,35,35,3811,0,0,0,0,0,0,0,0,0,30,30,3073,0,0,0,0,0,0,0,0,0
201005,430,38300,C,Pittsburgh  PA ,310,310,65470,1,2,180,4,15,1265,2,11,1582,215,215,46207,0,0,0,3,11,800,0,0,0
201005,438,30340, ,Lewiston-Auburn  ME ,23,23,2423,0,0,0,0,0,0,1,10,1237,19,19,1793,0,0,0,0,0,0,1,10,1237
201005,438,38860, ,Portland-South Portland-Biddeford  ME ,94,94,17657,0,0,0,0,0,0,1,11,833,65,65,11708,0,0,0,0,0,0,1,11,833
201005,442,38940,C,Port St. Lucie  FL ,33,33,6809,0,0,0,0,0,0,0,0,0,31,31,6501,0,0,0,0,0,0,0,0,0
201005,442,42680,C,Sebastian-Vero Beach  FL ,26,26,9329,0,0,0,0,0,0,0,0,0,26,26,9329,0,0,0,0,0,0,0,0,0
201005,450,20500,C,Durham-Chapel Hill  NC ,102,102,21634,0,0,0,0,0,0,1,48,3790,97,97,20282,0,0,0,0,0,0,1,48,3790
201005,450,39580,C,Raleigh-Cary  NC ,392,392,72405,0,0,0,1,4,80,1,24,2640,368,368,68026,0,0,0,1,4,80,1,24,2640
201005,456,39900,C,Reno-Sparks  NV ,45,45,11159,0,0,0,0,0,0,0,0,0,39,39,9111,0,0,0,0,0,0,0,0,0
201005,464,40380, ,Rochester  NY ,133,133,16829,1,2,400,0,0,0,1,10,1390,115,115,13516,1,2,400,0,0,0,0,0,0
201005,466,40420, ,Rockford  IL ,41,41,4426,2,4,316,0,0,0,0,0,0,41,41,4426,2,4,316,0,0,0,0,0,0
201005,472,40900,C,Sacramento--Arden-Arcade--Roseville  CA ,232,232,55607,1,2,358,0,0,0,0,0,0,231,231,55377,0,0,0,0,0,0,0,0,0
201005,472,49700, ,Yuba City  CA ,5,5,1109,0,0,0,0,0,0,0,0,0,5,5,1109,0,0,0,0,0,0,0,0,0
201005,474,13020, ,Bay City  MI ,2,2,315,0,0,0,0,0,0,0,0,0,2,2,315,0,0,0,0,0,0,0,0,0
201005,474,40980, ,Saginaw-Saginaw Township North  MI ,5,5,878,0,0,0,0,0,0,0,0,0,2,2,516,0,0,0,0,0,0,0,0,0
201005,476,41180,C,St. Louis  MO-IL ,307,307,66732,10,20,1428,15,49,3325,11,82,7787,204,204,39164,8,16,1014,13,43,2703,8,47,4305
201005,480,41540, ,Salisbury  MD ,14,14,1965,0,0,0,0,0,0,1,5,683,11,11,1655,0,0,0,0,0,0,0,0,0
201005,482,36260, ,Ogden-Clearfield  UT ,102,102,19699,0,0,0,1,4,378,2,18,2295,94,94,18141,0,0,0,1,4,378,2,18,2295
201005,482,41620,C,Salt Lake City  UT ,153,153,33145,1,2,251,1,3,371,8,87,8976,101,101,24483,0,0,0,0,0,0,0,0,0
201005,488,34900, ,Napa  CA ,3,3,1179,0,0,0,0,0,0,0,0,0,3,3,1179,0,0,0,0,0,0,0,0,0
201005,488,41860,C,San Francisco-Oakland-Fremont  CA ,215,215,78523,9,18,4166,3,11,3755,7,38,6039,198,198,72064,9,18,4166,3,11,3755,5,28,5093
201005,488,41940,C,San Jose-Sunnyvale-Santa Clara  CA ,37,37,13746,1,2,657,0,0,0,6,410,51686,16,16,6526,1,2,657,0,0,0,4,400,49313
201005,488,42100, ,Santa Cruz-Watsonville  CA ,8,8,2300,0,0,0,0,0,0,0,0,0,1,1,502,0,0,0,0,0,0,0,0,0
201005,488,42220, ,Santa Rosa-Petaluma  CA ,30,30,7589,0,0,0,0,0,0,0,0,0,30,30,7589,0,0,0,0,0,0,0,0,0
201005,488,46700, ,Vallejo-Fairfield  CA ,20,20,5307,0,0,0,0,0,0,0,0,0,20,20,5307,0,0,0,0,0,0,0,0,0
201005,492,42140,C,Santa Fe  NM ,9,9,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201005,494,35840,C,North Port-Bradenton-Sarasota  FL ,125,125,27444,1,2,400,1,4,618,2,18,3460,125,125,27444,1,2,400,1,4,618,2,18,3460
201005,494,39460,C,Punta Gorda  FL ,24,24,5741,0,0,0,0,0,0,0,0,0,24,24,5741,0,0,0,0,0,0,0,0,0
201005,496,25980, ,Hinesville-Fort Stewart  GA ,3,3,722,0,0,0,0,0,0,0,0,0,3,3,722,0,0,0,0,0,0,0,0,0
201005,496,42340, ,Savannah  GA ,66,66,9860,0,0,0,0,0,0,0,0,0,47,47,6443,0,0,0,0,0,0,0,0,0
201005,500,14740, ,Bremerton-Silverdale  WA ,33,33,6351,1,2,50,0,0,0,0,0,0,33,33,6351,1,2,50,0,0,0,0,0,0
201005,500,34580, ,Mount Vernon-Anacortes  WA ,18,18,3394,0,0,0,0,0,0,1,5,299,8,8,1881,0,0,0,0,0,0,0,0,0
201005,500,36500, ,Olympia  WA ,74,74,16323,0,0,0,0,0,0,0,0,0,74,74,16323,0,0,0,0,0,0,0,0,0
201005,500,42660,C,Seattle-Tacoma-Bellevue  WA ,481,481,122408,1,2,332,5,17,2632,10,147,26203,449,449,114822,1,2,332,5,17,2632,8,134,25182
201005,508,43340, ,Shreveport-Bossier City  LA ,85,85,16324,0,0,0,0,0,0,2,20,1218,26,26,5986,0,0,0,0,0,0,0,0,0
201005,512,43580, ,Sioux City  IA-NE-SD ,15,15,3466,1,2,170,0,0,0,0,0,0,8,8,1449,1,2,170,0,0,0,0,0,0
201005,515,21140, ,Elkhart-Goshen  IN ,14,14,2556,0,0,0,0,0,0,1,5,220,2,2,310,0,0,0,0,0,0,0,0,0
201005,515,43780, ,South Bend-Mishawaka  IN-MI ,11,11,2383,0,0,0,0,0,0,0,0,0,11,11,2383,0,0,0,0,0,0,0,0,0
201005,532,45060, ,Syracuse  NY ,39,39,7438,0,0,0,0,0,0,1,7,900,34,34,6367,0,0,0,0,0,0,1,7,900
201005,534,45780, ,Toledo  OH ,26,26,5723,0,0,0,0,0,0,0,0,0,17,17,3718,0,0,0,0,0,0,0,0,0
201005,538,46140,C,Tulsa  OK ,167,167,29833,2,4,280,0,0,0,22,228,11338,160,160,28700,2,4,280,0,0,0,22,228,11338
201005,540,46340, ,Tyler  TX ,10,10,1765,0,0,0,0,0,0,1,5,231,0,0,0,0,0,0,0,0,0,0,0,0
201005,548,12580,C,Baltimore-Towson  MD ,272,272,48941,0,0,0,1,3,269,6,162,71149,178,178,29826,0,0,0,0,0,0,4,98,45828
201005,548,47900,C,Washington-Arlington-Alexandria  DC-VA-MD-WV ,765,765,141427,12,24,1340,1,4,360,7,97,6390,670,670,122214,12,24,1340,1,4,360,5,73,2998
201005,548,49020, ,Winchester  VA-WV ,20,20,3235,0,0,0,0,0,0,0,0,0,20,20,3235,0,0,0,0,0,0,0,0,0
201005,554,48140, ,Wausau  WI ,23,23,3925,1,2,350,0,0,0,0,0,0,8,8,1236,1,2,350,0,0,0,0,0,0
201005,556,48620, ,Wichita  KS ,112,112,14180,2,4,224,0,0,0,2,14,550,108,108,13664,2,4,224,0,0,0,2,14,550
201005,558,48700, ,Williamsport  PA ,3,3,576,0,0,0,0,0,0,0,0,0,3,3,576,0,0,0,0,0,0,0,0,0
201005,564,49620, ,York-Hanover  PA ,42,42,7899,0,0,0,0,0,0,0,0,0,32,32,5668,0,0,0,0,0,0,0,0,0
